iteration,scale,ground_charge,charge,support_rank,energy_real,energy_imag,energy_abs,physical_gap_abs,addition_weight_abs,removal_weight_abs,total_weight_abs,addition_residue_real,addition_residue_imag,removal_residue_real,removal_residue_imag,max_residual,biorth_error,min_pair_overlap
0,0.7853981633974483,2,3,0,0.2225517889491387,0.0020384379785056504,0.2225611241745831,0.174799098170389,11.288828764444101,0.0,11.288828764444101,0.5045786599149649,0.004579260621660364,0.0,0.0,4.3231804253128994e-15,6.794885438741623e-13,0.0009999995555567535
0,0.7853981633974483,2,1,1,0.2225517889491366,0.002038437978508028,0.22256112417458102,0.17479909817038736,0.0,11.288828764443991,11.288828764443991,0.0,0.0,0.5045786599149658,0.004579260621660364,4.3231804253128994e-15,6.794885438741623e-13,0.0009999995555567535
0,0.7853981633974483,2,1,2,0.218509911730995,-0.0020014163854838525,0.21851907741026938,0.1716244820653304,0.0,11.08380721728142,11.08380721728142,0.0,0.0,0.4954140159327225,-0.004579259137602154,4.3231804253128994e-15,6.794885438741623e-13,0.0009999995555567535
0,0.7853981633974483,2,3,3,0.21850991173099193,-0.002001416385481438,0.2185190774102663,0.171624482065328,11.083807217280278,0.0,11.083807217280278,0.4954140159327216,-0.004579259137602598,0.0,0.0,4.3231804253128994e-15,6.794885438741623e-13,0.0009999995555567535
0,0.7853981633974483,2,3,4,0.6636032631507254,0.0020606686646598843,0.6636064626114158,0.5211952969536834,8.319024288234447e-5,0.0,8.319024288234447e-5,3.718111246593579e-6,5.521950700202065e-8,0.0,0.0,4.3231804253128994e-15,6.794885438741623e-13,0.0009999995555567535
0,0.7853981633974483,2,1,5,0.6636032631507242,0.002060668664661061,0.6636064626114145,0.5211952969536824,0.0,8.319024288227947e-5,8.319024288227947e-5,0.0,0.0,3.7181112465575463e-6,5.521950702853956e-8,4.3231804253128994e-15,6.794885438741623e-13,0.0009999995555567535
0,0.7853981633974483,2,3,6,0.6595904530120855,-0.0019501379912929154,0.6595933358842199,0.5180433945926625,8.068382458068267e-5,0.0,8.068382458068267e-5,3.6060410672295348e-6,-5.6703565267410776e-8,0.0,0.0,4.3231804253128994e-15,6.794885438741623e-13,0.0009999995555567535
0,0.7853981633974483,2,1,7,0.6595904530120863,-0.001950137991294101,0.6595933358842206,0.5180433945926631,0.0,8.068382458064007e-5,8.068382458064007e-5,0.0,0.0,3.606041067255654e-6,-5.67035652866452e-8,4.3231804253128994e-15,6.794885438741623e-13,0.0009999995555567535
1,0.4534498410585544,3,2,0,0.008623172511842192,0.006341161903739331,0.010703711433817048,0.004853596248400972,0.0,20.340103185921492,20.340103185921492,0.0,0.0,0.9091824196696203,-1.853362436854411e-5,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,4,1,0.008623172511851296,0.006341161903754362,0.010703711433833286,0.0048535962484083355,20.340103185916718,0.0,20.340103185916718,0.9091824196693032,-1.853362451420537e-5,0.0,0.0,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,2,2,1.2679699190811187,0.0003232882447942141,1.2679699602947492,0.5749607769626756,0.0,1.030023169143465,1.030023169143465,0.0,0.0,0.04603844370286275,0.0004864042304307814,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,4,3,1.2679699190813185,0.0003232882448952045,1.267969960294949,0.5749607769627662,1.0300231691180655,0.0,1.0300231691180655,0.04603844370292348,0.00048640423045698267,0.0,0.0,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,2,4,1.2671107424434842,-0.00031230503787060566,1.267110780930426,0.5745711822164824,0.0,1.0017582411331567,1.0017582411331567,0.0,0.0,0.04477527210214999,-0.0004564754239740343,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,4,5,1.2671107424434793,-0.00031230503784299927,1.2671107809304212,0.5745711822164802,1.0017582411029005,0.0,1.0017582411029005,0.04477527210199306,-0.00045647542404292363,0.0,0.0,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,4,6,1.2800271503244578,0.012365702026825881,1.2800868783619213,0.5804551915343542,0.0002689854471691326,0.0,0.0002689854471691326,3.836374872538578e-6,-1.1394909107692277e-5,0.0,0.0,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,2,7,1.2800271503246625,0.012365702026930346,1.280086878362127,0.5804551915344476,0.0,0.00026898544714646635,0.00026898544714646635,0.0,0.0,3.8363748716742656e-6,-1.1394909107056379e-5,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,4,8,2.5432598192397764,0.006347524783880309,2.5432677403746586,1.1532443526422378,3.1725480548418984e-7,0.0,3.1725480548418984e-7,1.4180133993494557e-8,1.544269964062937e-10,0.0,0.0,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,2,9,2.54325981923978,0.006347524783885419,2.543267740374662,1.1532443526422393,0.0,3.1725480497589056e-7,3.1725480497589056e-7,0.0,0.0,1.418013396942601e-8,1.5442698136525172e-10,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,4,10,2.5430588538485486,0.005714473266804065,2.5430652742983635,1.153152544432122,2.0253668594154026e-7,0.0,2.0253668594154026e-7,9.048874388538337e-9,-2.794629626293538e-10,0.0,0.0,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,2,11,2.5430588538485663,0.005714473266816915,2.5430652742983813,1.15315254443213,0.0,2.025366857226505e-7,2.025366857226505e-7,0.0,0.0,9.048874377995676e-9,-2.794629700635899e-10,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,4,12,2.5436922889434332,0.006347735396712888,2.5437002092571657,1.1534404555882734,1.0115542798248082e-7,0.0,1.0115542798248082e-7,4.5191244045642525e-9,-1.4799938894840268e-10,0.0,0.0,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,2,13,2.543692288943417,0.006347735396703225,2.5437002092571492,1.1534404555882658,0.0,1.0115542781937692e-7,1.0115542781937692e-7,0.0,0.0,4.519124399199708e-9,-1.4799939013158198e-10,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,2,14,3.8030524498976552,0.00033188115858079955,3.8030524643787995,1.7244935355099102,0.0,4.569527448679684e-9,4.569527448679684e-9,0.0,0.0,2.042329045158506e-10,2.8893016695397428e-12,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,4,15,3.803052449897866,0.0003318811586678792,3.8030524643790105,1.724493535510006,4.5695274400030546e-9,0.0,4.5695274400030546e-9,2.042329036284924e-10,2.8893012448304747e-12,0.0,0.0,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,4,16,3.8021938592039684,-0.00030324426505959,3.8021938712966032,1.7241042066132544,4.437412297355827e-9,0.0,4.437412297355827e-9,1.9832951301639617e-10,-2.7024816773389434e-12,0.0,0.0,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,2,17,3.8021938592039524,-0.0003032442650463445,3.8021938712965873,1.7241042066132473,0.0,4.437412220409052e-9,4.437412220409052e-9,0.0,0.0,1.9832950932148894e-10,-2.70248354652952e-12,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,2,18,3.8151054756962934,0.012370097281581942,3.8151255300441425,1.7299680652169496,0.0,8.947603583599299e-13,8.947603583599299e-13,0.0,0.0,3.975147997275857e-15,-3.9796863514194313e-14,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,4,19,3.8151054756960754,0.012370097281481474,3.815125530043924,1.7299680652168505,8.947601869792609e-13,0.0,8.947601869792609e-13,3.9751269705883365e-15,-3.979685767360282e-14,0.0,0.0,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,2,20,5.078784138906785,0.00635415023035149,5.078788113796074,2.3029756629709053,0.0,9.608839094668175e-21,9.608839094668175e-21,0.0,0.0,7.808862049015677e-24,4.295146473017897e-22,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,4,21,5.078784138906784,0.0063541502303431216,5.078788113796072,2.3029756629709044,9.561923164424382e-21,0.0,9.561923164424382e-21,7.261495082282206e-24,4.271311398514707e-22,0.0,0.0,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,2,22,1.2804310025622292,0.013001233706313394,1.2804970067908794,0.5806411642052789,0.0,2.3114191626392177e-23,2.3114191626392177e-23,0.0,0.0,9.939756437155183e-25,-3.2577142291481706e-25,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,4,23,1.2804310025622454,0.013001233706305994,1.2804970067908956,0.5806411642052863,7.400102863770432e-25,0.0,7.400102863770432e-25,-1.3967920631647325e-25,7.737621085775453e-26,0.0,0.0,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,2,24,3.8155089844806414,0.013005161277747469,3.815531148460507,1.7301519928233804,0.0,2.0842406411439078e-26,2.0842406411439078e-26,0.0,0.0,3.023217130159744e-28,6.247528458529372e-28,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,4,25,3.8155089844806285,0.013005161277760479,3.815531148460494,1.7301519928233746,1.8361292122839464e-26,0.0,1.8361292122839464e-26,-1.2103792110586801e-27,-2.6006189585062372e-28,0.0,0.0,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,4,26,2.544325723935194,0.006980836821949138,2.5443353005374676,1.1537284376283838,1.1159890939046617e-26,0.0,1.1159890939046617e-26,-6.168353747020448e-28,-1.4291478632798476e-27,0.0,0.0,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,2,27,2.5443257239351995,0.006980836821951443,2.544335300537473,1.1537284376283863,0.0,1.1032172467483645e-26,1.1032172467483645e-26,0.0,0.0,1.3904925101697458e-27,-3.2648748800519747e-28,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,4,28,2.5439426240637504,0.0063476926283195555,2.543950543491375,1.1535539696069872,3.855781319188861e-27,0.0,3.855781319188861e-27,1.2258360504605369e-28,4.803514196432522e-28,0.0,0.0,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
1,0.4534498410585544,3,2,29,2.54394262406375,0.00634769262831981,2.5439505434913747,1.153553969606987,0.0,3.287722581783654e-27,3.287722581783654e-27,0.0,0.0,8.605717000143809e-29,4.587696835769935e-28,1.127723255282727e-13,2.633171706331973e-10,0.04469900725374204
2,0.2617993877991494,4,5,0,0.28450252837456436,0.0058157419014656896,0.2845619642632941,0.07449814803505383,10.693468694157449,0.0,10.693468694157449,0.4778924106404161,0.009530561598500853,0.0,0.0,3.764946670652496e-13,1.7422930298642012e-9,0.04469900725388314
2,0.2617993877991494,4,3,1,0.28450252837601897,0.005815741900758148,0.28456196426473396,0.07449814803543078,0.0,10.693468693934701,10.693468693934701,0.0,0.0,0.4778924106396234,0.009530561600346932,3.764946670652496e-13,1.7422930298642012e-9,0.04469900725388314
2,0.2617993877991494,4,5,2,0.2730975093936614,-0.005583433524873052,0.2731545796192106,0.07151170171884334,10.26634973787112,0.0,10.26634973787112,0.45879648112424887,-0.009539318687340703,0.0,0.0,3.764946670652496e-13,1.7422930298642012e-9,0.04469900725388314
2,0.2617993877991494,4,3,3,0.2730975093925907,-0.005583433523678226,0.2731545796181157,0.0715117017185567,0.0,10.266349737656322,10.266349737656322,0.0,0.0,0.4587964811244909,-0.009539318686249132,3.764946670652496e-13,1.7422930298642012e-9,0.04469900725388314
2,0.2617993877991494,4,3,4,2.4016893518355964,0.000388855882350889,2.4016893833152912,0.6287608102356599,0.0,0.7148239166986734,0.7148239166986734,0.0,0.0,0.03195037631725742,0.0003140213799704139,3.764946670652496e-13,1.7422930298642012e-9,0.04469900725388314
2,0.2617993877991494,4,5,5,2.4016893518266613,0.00038885588437652906,2.4016893833063566,0.6287608102333209,0.7148239158040334,0.0,0.7148239158040334,0.031950376316239426,0.000314021380437679,0.0,0.0,3.764946670652496e-13,1.7422930298642012e-9,0.04469900725388314
2,0.2617993877991494,4,3,6,2.400918860620288,-0.0003813165315557556,2.4009188909008397,0.6285590957932526,0.0,0.7009641730894083,0.7009641730894083,0.0,0.0,0.03133091588260106,-0.0003052322930475193,3.764946670652496e-13,1.7422930298642012e-9,0.04469900725388314
2,0.2617993877991494,4,5,7,2.4009188606124576,-0.00038131652603468937,2.4009188908930086,0.6285590957912024,0.7009641722370403,0.0,0.7009641722370403,0.03133091588236722,-0.0003052322932313445,0.0,0.0,3.764946670652496e-13,1.7422930298642012e-9,0.04469900725388314
2,0.2617993877991494,4,3,8,0.8420413227177996,0.005959915550346275,0.8420624144074529,0.2204514245805448,0.0,0.0003383790863272804,0.0003383790863272804,0.0,0.0,1.5117780384677206e-5,4.7399435083343646e-7,3.764946670652496e-13,1.7422930298642012e-9,0.04469900725388314
2,0.2617993877991494,4,5,9,0.8420413227165682,0.005959915550695791,0.8420624144062239,0.22045142458022307,0.00033837908604665925,0.0,0.00033837908604665925,1.5117780371041967e-5,4.7399436203369213e-7,0.0,0.0,3.764946670652496e-13,1.7422930298642012e-9,0.04469900725388314
2,0.2617993877991494,4,5,10,0.8308058533961185,-0.005269941407062072,0.8308225672908064,0.21750883948645072,0.0003163942657458297,0.0,0.0003163942657458297,1.4133464929062448e-5,-5.057136352744731e-7,0.0,0.0,3.764946670652496e-13,1.7422930298642012e-9,0.04469900725388314
2,0.2617993877991494,4,3,11,0.8308058533933709,-0.005269941405505714,0.830822567288049,0.21750883948572886,0.0,0.00031639426549068153,0.00031639426549068153,0.0,0.0,1.413346491740165e-5,-5.057136321564025e-7,3.764946670652496e-13,1.7422930298642012e-9,0.04469900725388314
2,0.2617993877991494,4,3,12,2.9611073777204866,0.0006136786463613441,2.9611074413118104,0.7752161153429377,0.0,3.1324046633883506e-6,3.1324046633883506e-6,0.0,0.0,1.399974904074287e-7,2.238048717095458e-9,3.764946670652496e-13,1.7422930298642012e-9,0.04469900725388314
2,0.2617993877991494,4,5,13,2.961107377718173,0.0006136786456392065,2.9611074413094967,0.7752161153423319,3.132404643184501e-6,0.0,3.132404643184501e-6,1.3999749009272209e-7,2.2380490058070617e-9,0.0,0.0,3.764946670652496e-13,1.7422930298642012e-9,0.04469900725388314
2,0.2617993877991494,4,5,14,2.9603481547331123,-0.00014523476111953822,2.960348158295723,0.7750173355141597,3.0273620157295664e-6,0.0,3.0273620157295664e-6,1.3529791070206118e-7,-2.4492217794518994e-9,0.0,0.0,3.764946670652496e-13,1.7422930298642012e-9,0.04469900725388314
