run,config_label,model,iteration,delta_coh,U,sector,Lambda,z_shift,nkeep,beta0,Gamma_PT,Delta_eff,F_lambda,soc_lambda,z_center_real,z_center_imag,s_real,s_imag,s_abs,y_real,y_imag,y_abs,B_frobenius,alignment,trace_fraction,support,max_residual,biorth_error,reliable,tracking_cost,rank_minus,rank_plus,B0_real,B0_imag,Bx_real,Bx_imag,By_real,By_imag,Bz_real,Bz_imag,Bx_abs,By_abs,Bz_abs,nilpotent_mismatch
adapter/output/jordan_comprehensive/reference/scalar/delta_7.0e-05/U_0.005000,reference,scalar,4,7e-05,0.005,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504874889242718,2.5092521985072417e-06,6.808213620052017e-05,6.792089548352388e-05,9.616873355155487e-05,2.1929226342404175e-11,9.248399314341136e-09,9.248425312909953e-09,0.00012921614575892091,0.9999998897811575,0.00031295001758111104,1.3326774010223528,2.2630289017820953e-12,1.8042631575372155e-09,True,0.18462409428168264,8,10,-4.330243401264727e-11,-2.859408917673476e-08,1.0381592829468322e-07,6.460799422095077e-05,-6.579955222178746e-15,-2.93993853777808e-14,6.460803523515108e-05,-5.8590303299045906e-08,6.460807762966931e-05,3.012672686033365e-14,6.460806180168356e-05,0.0003499999596964619
adapter/output/jordan_comprehensive/reference/scalar/delta_7.0e-05/U_0.007500,reference,scalar,4,7e-05,0.0075,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504688936847274,-6.735744525954827e-07,7.023224476448986e-05,6.926886398233537e-05,9.864453214477978e-05,1.343926872559347e-10,9.729815619531067e-09,9.73074372206249e-09,0.0001325438744709131,0.9999998879089127,0.00031887648049939174,1.332479111821936,3.0171564710882193e-12,3.466560434591775e-09,True,0.044191867298576826,8,10,-2.1273634077072353e-10,-2.988519876457957e-08,4.854129653427302e-07,6.627016424186154e-05,7.759588869886425e-14,-5.1609329799812473e-14,6.627047155835568e-05,-4.390236362283765e-07,6.62719419844494e-05,9.31914420177751e-14,6.627192574778551e-05,0.0003499999497551593
adapter/output/jordan_comprehensive/reference/scalar/delta_7.0e-05/U_0.010000,reference,scalar,4,7e-05,0.01,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504689306861275,-7.01342273586981e-07,7.15400261298571e-05,7.060106424267983e-05,0.00010051112182668962,1.3346506646163258e-10,1.010160396143407e-08,1.0102485610859642e-08,0.00013505215991294756,0.999999885915517,0.0003250676883856921,1.332260909676696,2.0810081928121418e-12,5.993376251806076e-10,True,0.028637848537627904,8,10,-2.1168038590697272e-10,-3.104203913698384e-08,4.740544234597191e-07,6.752442063481631e-05,-4.708645311764931e-14,-1.8832899235502845e-14,6.752471938492207e-05,-4.267871210524498e-07,6.752608466114416e-05,5.071303738502743e-14,6.75260681163887e-05,0.00034999994847640227
adapter/output/jordan_comprehensive/reference/scalar/delta_7.0e-05/U_0.015000,reference,scalar,4,7e-05,0.015,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504690961842474,-7.645481210321657e-07,7.429135539932519e-05,7.339903350951264e-05,0.00010443478159693447,1.3178736693828532e-10,1.0905827368844364e-08,1.0906623607199403e-08,0.00014032510429031966,0.9999998815958887,0.0003380950260077137,1.3318052165282035,3.116026738267064e-12,5.087377881462069e-10,True,0.21903574797326694,9,11,-2.1065308235279114e-10,-3.35467610514404e-08,4.5234837875349747e-07,7.016109853612889e-05,-1.9220668351187242e-15,1.623604783811872e-14,7.016138080145112e-05,-4.0323541091219067e-07,7.016255672972692e-05,1.6349421712107826e-14,7.016253954043316e-05,0.00034999996627181666
adapter/output/jordan_comprehensive/reference/scalar/delta_7.0e-05/U_0.020000,reference,scalar,4,7e-05,0.02,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504693850813048,-8.410791760950771e-07,7.72254741434053e-05,7.637573470767586e-05,0.00010861411836778423,1.305210045364791e-10,1.179630465170241e-08,1.1797026708811043e-08,0.00014594214689794987,0.9999998767952064,0.00035200798028254166,1.331322157835913,2.504059538169084e-12,3.655396351728717e-10,True,0.22046534921065217,8,10,-2.115536854041273e-10,-3.6325439485918986e-08,4.3251304132015973e-07,7.29697960632337e-05,-1.5565199411489428e-14,-7.890220588588852e-15,7.29700630674931e-05,-3.814339973468976e-07,7.297107786678793e-05,1.7450816991075868e-14,7.29710599893427e-05,0.0003499999559505191
adapter/output/jordan_comprehensive/reference/scalar/delta_7.0e-05/U_0.030000,reference,scalar,4,7e-05,0.03,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504703534183902,-1.068019162978581e-06,8.363677628936417e-05,8.284277793265673e-05,0.00011772016056596519,1.3218449247767115e-10,1.3857405770286172e-08,1.3858036203676627e-08,0.00015818169863787463,0.9999998655545768,0.00038261060766345316,1.33026388903377,2.5520795163195762e-12,5.999224428396461e-10,True,0.12642948999539835,8,10,-2.2501828800594852e-10,-4.2794922091545986e-08,4.065431201343104e-07,7.908980835363849e-05,-3.299929909406432e-14,1.1452064356118468e-14,7.90900541809884e-05,-3.511800823412125e-07,7.909085321782661e-05,3.4929980227824253e-14,7.909083384186763e-05,0.00034999995631959375
adapter/output/jordan_comprehensive/reference/scalar/delta_7.0e-05/U_0.050000,reference,scalar,4,7e-05,0.05,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504740312859941,-3.3653322950942923e-06,9.849114067894682e-05,9.614244098839787e-05,0.00013763674564391465,4.5713583303252593e-10,1.8938357361211276e-08,1.894387375144766e-08,0.00018494881460271782,0.9999998349310437,0.0004556730627218664,1.3276818332266336,2.847992995349802e-12,4.255860586427299e-10,True,0.7399247724984671,10,14,-8.225561173963686e-10,-5.958659024978153e-08,1.1433014625566666e-06,9.246734119102478e-05,4.7149309738599154e-15,-6.415641333619958e-14,9.24680961934107e-05,-1.078573795055784e-06,9.24744090285073e-05,6.432943297009193e-14,9.247438637301268e-05,0.0003499999580671389
adapter/output/jordan_comprehensive/reference/scalar/delta_7.0e-05/U_0.075000,reference,scalar,4,7e-05,0.075,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6505017808091844,-7.743951397499977e-07,0.00012721305975244013,0.00012548180231265,0.00017868644403873753,4.3747985994692496e-10,3.192584803088605e-08,3.192884528320888e-08,0.0002400600447549785,0.9999997747624129,0.0005726911864918546,1.323214194938985,2.7028886262084325e-12,3.8616133235514706e-10,True,0.7719229738977984,13,15,-1.0279004857501636e-09,-9.720779802023807e-08,8.427620718523462e-07,0.00012002705873519063,1.386829426254163e-14,-8.494870134607329e-15,0.00012002758985484605,-7.587427592901217e-07,0.00012003001739786033,1.6263222446867308e-14,0.00012002998799024315,0.00034999995571702075
adapter/output/jordan_comprehensive/reference/scalar/delta_7.0e-05/U_0.100000,reference,scalar,4,7e-05,0.1,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504973100073654,-5.286162112999961e-07,0.00016042842614610864,0.0001568829637438,0.00022438704113374262,1.1250156026789706e-09,5.0336973925109715e-08,5.03495442287559e-08,0.0003011958982675362,0.9999996806515028,0.0007184685012054713,1.316834007635125,2.3858311241779036e-12,1.4801563380120774e-09,True,0.5471926861999484,12,14,-2.66373787574149e-09,-1.5299455472616823e-07,1.6723874133317214e-06,0.00015058864250994965,8.962408181052706e-15,-2.5258455995036877e-14,0.00015058973939193057,-1.5669745963126947e-06,0.0001505979287130128,2.6801387271128612e-14,0.0001505978918163035,0.00034999995527293967
adapter/output/jordan_comprehensive/reference/scalar/delta_4.0e-05/U_0.000000,reference,scalar,4,4e-05,0.0,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504865924105359,1.2617590201918152e-06,4.952952388431742e-05,4.9522178321193645e-05,7.00401305101816e-05,7.275905310677587e-13,4.905619827925974e-09,4.905619881883271e-09,0.00012449399029889198,0.9999999651649055,0.000172250374672376,1.7668539343367948,4.1390568653662205e-12,2.6481637554169713e-08,True,0.5385114255193311,8,10,2.8589943590730596e-12,-1.5163294047534056e-08,1.988260469877149e-08,6.224699353995583e-05,-2.128251595139366e-14,-9.673276531994162e-14,6.224699153454207e-05,5.016192129653004e-09,6.224699671535385e-05,9.904631932416381e-14,6.224699173665772e-05,0.00019999999372486
adapter/output/jordan_comprehensive/reference/scalar/delta_4.0e-05/U_0.002500,reference,scalar,4,4e-05,0.0025,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504885018485149,1.8914060109285275e-06,5.15360784673069e-05,5.0445405509580554e-05,7.211592279666422e-05,1.1122844676239392e-10,5.199516753313719e-09,5.200706320814434e-09,0.00012818381241145528,0.9999999645984827,0.00017550795515691202,1.7666484468704742,3.2820668713585904e-12,1.5018452592283874e-09,True,0.055805684260799494,8,10,-1.7223367027832844e-10,-1.5907045994706222e-08,7.009683583881606e-07,6.408807444929161e-05,-3.0693018114071047e-14,2.59008774930305e-14,6.40883445811786e-05,-6.753330219329531e-07,6.409190778294405e-05,4.016113563956661e-14,6.409190265428542e-05,0.000199999981145461
adapter/output/jordan_comprehensive/reference/scalar/delta_4.0e-05/U_0.005000,reference,scalar,4,4e-05,0.005,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504688770897515,-3.7760763213834773e-07,5.236534730840292e-05,5.13935834285197e-05,7.337186120273818e-05,1.0082918110544599e-10,5.38248569131563e-09,5.383430016353875e-09,0.00013041718866334118,0.9999999640153966,0.00017879936418280275,1.7664559383235237,3.78271210746307e-12,2.0380439431245014e-09,True,0.02729989386158731,8,10,-1.5695427132999575e-10,-1.6487929805244063e-08,6.264439485202803e-07,6.520558677697598e-05,-3.5898022022421566e-14,-8.282761506733254e-14,6.520582692156328e-05,-6.003616185700178e-07,6.520859589770648e-05,9.02722648595042e-14,6.520859068096717e-05,0.0001999999857209805
adapter/output/jordan_comprehensive/reference/scalar/delta_4.0e-05/U_0.007500,reference,scalar,4,4e-05,0.0075,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504688840879187,-3.9195501268375176e-07,5.331120920454291e-05,5.2368507376678856e-05,7.472981728675514e-05,9.96244619892728e-11,5.58365690497555e-09,5.584545591711807e-09,0.00013283101910151193,0.9999999633988917,0.00018221475013976054,1.7662441907716822,4.706214671012895e-12,3.5662131682323573e-09,True,0.18813318531254924,9,11,-1.5464620336798178e-10,-1.7113951875780198e-08,6.0832084481632e-07,6.641272514392615e-05,7.5956561461539e-15,-1.075203082695638e-15,6.641295784649865e-05,-5.817556601561247e-07,6.641551110465776e-05,7.671378882550629e-15,6.6415505791712e-05,0.00020000000347546933
adapter/output/jordan_comprehensive/reference/scalar/delta_4.0e-05/U_0.010000,reference,scalar,4,4e-05,0.01,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504689215238382,-4.0753212221226155e-07,5.429055483696654e-05,5.337692454808787e-05,7.613514575226041e-05,9.836827029340608e-11,5.79572569841318e-09,5.796560418717936e-09,0.0001353291990067814,0.9999999627484379,0.00018575013965986529,1.7660267634932794,5.459056972479578e-12,4.948554447783787e-10,True,0.028570949791825718,9,11,-1.5234527344748202e-10,-1.7774185582112508e-08,5.901878161181202e-07,6.766202710943745e-05,-1.290349663056467e-14,-3.8907042881252747e-14,6.766225235930662e-05,-5.631229107459261e-07,6.766460104232155e-05,4.09909527952039e-14,6.766459562982034e-05,0.00020000002476689492
adapter/output/jordan_comprehensive/reference/scalar/delta_4.0e-05/U_0.015000,reference,scalar,4,4e-05,0.015,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504690880633919,-4.430428395031671e-07,5.635075821330826e-05,5.549540992119669e-05,7.908949660692236e-05,9.566742889307252e-11,6.254416852835566e-09,6.2551484735363835e-09,0.00014058143683611958,0.9999999613388428,0.00019318985147291637,1.7655742222556852,3.1968416805321356e-12,4.5897676492314015e-10,True,0.05890621703920747,9,11,-1.4775316346392516e-10,-1.9203678841940388e-08,5.53818816075647e-07,7.028853812163215e-05,-7.287104405138967e-14,-3.096236426808387e-14,7.028874840339769e-05,-5.257033170071491e-07,7.029071991776137e-05,7.917611421514124e-14,7.029071429494549e-05,0.00019999998994081318
adapter/output/jordan_comprehensive/reference/scalar/delta_4.0e-05/U_0.020000,reference,scalar,4,4e-05,0.02,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504693784527812,-4.8616114634202e-07,5.854709795816149e-05,5.77502338211008e-05,8.223656234129909e-05,9.267317293074196e-11,6.762217193261439e-09,6.762852185714372e-09,0.00014617675823741196,0.999999959772101,0.00020113626896080174,1.7650954258704552,3.8574978759628585e-12,4.3444164330965325e-10,True,0.060352616727282996,9,11,-1.431906436683613e-10,-2.0789469970418247e-08,5.172867316511332e-07,7.308654997787781e-05,-6.373134848634485e-14,-1.148722826717924e-14,7.308674520156643e-05,-4.880520326371407e-07,7.308838056238196e-05,6.475832914112447e-14,7.30883747181811e-05,0.00019999999852033125
adapter/output/jordan_comprehensive/reference/scalar/delta_4.0e-05/U_0.030000,reference,scalar,4,4e-05,0.03,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504703548566784,-6.150071854616712e-07,6.333837392863417e-05,6.265520917771473e-05,8.909222664759633e-05,8.607437482029734e-11,7.936958134949774e-09,7.937424849026672e-09,0.00015836679163302994,0.9999999561031406,0.000218617766645665,1.764048162938277,4.1226635064844455e-12,4.64431637992146e-09,True,0.2862498178042414,8,10,-1.351001765022503e-10,-2.4480932746461824e-08,4.46127450650667e-07,7.918214031755135e-05,-3.961983058254834e-14,-5.095357981487733e-14,7.918230609932396e-05,-4.14454530427819e-07,7.91833970916291e-05,6.454454486121121e-14,7.918339075693102e-05,0.00019999997800045113
adapter/output/jordan_comprehensive/reference/scalar/delta_4.0e-05/U_0.050000,reference,scalar,4,4e-05,0.05,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504748221971672,-2.173015022411064e-06,7.38862493759318e-05,7.27280303651073e-05,0.00010367518626764242,1.6981144605441223e-10,1.0747202776353317e-08,1.0748544247630353e-08,0.00018429419780975802,0.9999999461053708,0.0002603637027224021,1.761481361442852,3.899876717791066e-12,1.20651442170567e-09,True,1.0475770563712907,13,15,-3.023005826240967e-10,-3.392812546094354e-08,7.435095741881723e-07,9.21440998312234e-05,2.9597736750635456e-14,7.457186963939427e-14,9.214438249277381e-05,-7.066518195326582e-07,9.21470994670661e-05,8.023085293248932e-14,9.214709209610823e-05,0.0002000000010335246
adapter/output/jordan_comprehensive/reference/scalar/delta_4.0e-05/U_0.075000,reference,scalar,4,4e-05,0.075,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6505017414371128,1.0078821585446845e-06,9.628053626165034e-05,9.491530259554596e-05,0.00013519932074398532,2.610269960269128e-10,1.8276992466671955e-08,1.827885632963502e-08,0.0002402824000309009,0.9999999264203665,0.000327351903044108,1.7569074720391875,3.320528168061197e-12,7.741933518582306e-10,True,0.6169255420219064,12,14,-5.595836856563054e-10,-5.5616012955985105e-08,8.691552047341804e-07,0.00012013805441523533,2.8171021559334625e-14,9.258085561252878e-14,0.00012013838285259711,-8.210998512674826e-07,0.00012014119838526651,9.67720067046478e-14,0.00012014118877139077,0.00019999999327979088
adapter/output/jordan_comprehensive/reference/scalar/delta_4.0e-05/U_0.100000,reference,scalar,4,4e-05,0.1,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504978652038927,-1.1030833034999821e-07,0.00012140051711129196,0.00011887373966405,0.00016990895072539712,6.071195731727567e-10,2.8862666932337537e-08,2.8869051536605426e-08,0.0003017060264657885,0.9999998956185006,0.0004108077373491111,1.750132610046406,3.748897208203744e-12,1.2092656360435551e-09,True,0.3879049660404414,12,14,-1.3420623548566178e-09,-8.763077982651957e-08,1.5805164687508182e-06,0.0001508447266194922,-6.30445945015018e-14,-5.643489804672082e-14,0.00015084533469268176,-1.52017833437838e-06,0.00015085300653688453,8.461393864726168e-14,0.00015085299447049598,0.0001999999937050112
adapter/output/jordan_comprehensive/reference/scalar/delta_2.0e-05/U_0.000000,reference,scalar,4,2e-05,0.0,-1,3.0,0.5,320,0.5,0.1,0.1,1.0,0.0,-0.6504870793273965,9.74814456609632e-07,3.502171200087112e-05,3.501862449335504e-05,4.952599693977463e-05,2.1625006535454195e-13,2.452824363345863e-09,2.452824372878566e-09,0.0001244943252313153,0.9999999912922354,8.61134617214861e-05,2.5030464066805465,4.440530960785953e-12,4.42244665020819e-08,True,0.6145781149889772,9,11,2.9500210190240225e-12,-7.58063476678574e-09,1.0373580896244611e-08,6.224716214370186e-05,2.1146143646885718e-14,-5.561568471126927e-14,6.22471617270183e-05,2.075852205601455e-09,6.224716300808808e-05,5.950011577331624e-14,6.224716176163163e-05,0.00010000000507531016
