config_label,model,sector,method,U,n_iterations,relative_iteration_spread
reference,scalar,1,quadratic_all,0.0025,3,0.4731583243753451
reference,scalar,1,quadratic_all,0.005,3,0.46155421340019276
reference,scalar,1,quadratic_all,0.0075,3,0.4696360316594376
reference,scalar,1,quadratic_all,0.01,3,0.47024080068688046
reference,scalar,1,quadratic_all,0.015,3,0.4708684791185897
reference,scalar,1,quadratic_all,0.02,3,0.4711162611594041
reference,scalar,1,quadratic_all,0.03,3,0.4715371115596327
reference,scalar,1,quadratic_all,0.05,3,0.4737299474593384
reference,scalar,1,quadratic_all,0.075,3,0.4909431940227298
reference,scalar,1,quadratic_all,0.1,3,0.47535412973252256
reference,scalar,1,quadratic_small4,0.0,3,0.0
reference,scalar,1,quadratic_small4,0.0025,3,0.46967441364868967
reference,scalar,1,quadratic_small4,0.005,3,0.47183485752484006
reference,scalar,1,quadratic_small4,0.0075,3,0.46979095808475485
reference,scalar,1,quadratic_small4,0.01,3,0.4703451695330237
reference,scalar,1,quadratic_small4,0.015,3,0.47085199824238205
reference,scalar,1,quadratic_small4,0.02,3,0.47110051937336783
reference,scalar,1,quadratic_small4,0.03,3,0.47137682949529963
reference,scalar,1,quadratic_small4,0.05,3,0.47249139818161134
reference,scalar,1,quadratic_small4,0.075,2,1.4083590350112864e-16
reference,scalar,1,quadratic_small4,0.1,3,0.48445522344142894
