config_label,model,iteration,method,U,relative_sector_y_difference,relative_sector_Bx_difference
reference,scalar,5,linear_small3,0.03,1.613267972010507e-06,3.799386701143942e-09
reference,scalar,5,linear_small3,0.05,1.0184983087703007e-06,1.5919740488620686e-09
reference,scalar,5,linear_small3,0.075,0.020386140015068426,0.0027018696173953427
reference,scalar,5,linear_small3,0.1,0.004073191093016753,0.0004231802611018398
reference,scalar,5,quadratic_all,0.0,0.0,3.5133684176437724e-05
reference,scalar,5,quadratic_all,0.0025,5.8452430834968296e-05,1.501775663310433e-07
reference,scalar,5,quadratic_all,0.005,0.00014200004104949067,9.563979719492861e-06
reference,scalar,5,quadratic_all,0.0075,1.1699289624291246e-05,7.529875961711854e-08
reference,scalar,5,quadratic_all,0.01,7.660147014453348e-06,2.4259235512326903e-08
reference,scalar,5,quadratic_all,0.015,4.203344210017599e-06,1.3908515880751641e-08
reference,scalar,5,quadratic_all,0.02,2.8865063740550456e-06,9.242403961710756e-09
reference,scalar,5,quadratic_all,0.03,1.672296488594e-06,3.883149194466698e-09
reference,scalar,5,quadratic_all,0.05,1.0579164814214417e-06,1.540167749657096e-09
reference,scalar,5,quadratic_all,0.075,0.011971689072602492,0.0015230832301034024
reference,scalar,5,quadratic_all,0.1,0.0036581629142907243,0.0001951550788388137
reference,scalar,5,quadratic_small4,0.0,0.0,5.159202840352543e-05
reference,scalar,5,quadratic_small4,0.0025,0.00010010789334322079,1.7373444305584343e-07
reference,scalar,5,quadratic_small4,0.005,4.714277336125618e-05,4.322495392365195e-06
reference,scalar,5,quadratic_small4,0.0075,1.797323540544874e-05,8.857429936096944e-08
reference,scalar,5,quadratic_small4,0.01,1.1958470255542229e-05,3.4677700040588136e-08
reference,scalar,5,quadratic_small4,0.015,6.725084895342988e-06,1.5680628068107458e-08
reference,scalar,5,quadratic_small4,0.02,4.861522177354496e-06,1.2346034421815657e-08
reference,scalar,5,quadratic_small4,0.03,2.8784374131595424e-06,5.42572308110859e-09
reference,scalar,5,quadratic_small4,0.05,1.996086989210416e-06,2.574189209850796e-09
reference,scalar,5,quadratic_small4,0.075,0.049586748748031484,0.004597218060183139
reference,scalar,5,quadratic_small4,0.1,0.013139814880346752,0.0008485093567746435
reference,scalar,6,linear_all,0.0,0.0,5.574872263754177e-06
reference,scalar,6,linear_all,0.0025,0.0033777404229582315,1.2652872478951238e-08
reference,scalar,6,linear_all,0.005,0.0014375386808210512,2.7857501593780704e-08
reference,scalar,6,linear_all,0.0075,0.0007090507264655987,5.3053029076222865e-09
reference,scalar,6,linear_all,0.01,0.0004332334401038394,3.518944770242658e-09
reference,scalar,6,linear_all,0.015,0.0001869993375411869,2.898835967467135e-09
reference,scalar,6,linear_all,0.02,9.410343965659824e-05,1.7155399911121634e-09
reference,scalar,6,linear_all,0.03,0.000669962088254405,4.022143781947348e-05
reference,scalar,6,linear_all,0.05,8.660531923784224e-05,1.5078950834553137e-05
reference,scalar,6,linear_all,0.075,0.0006516255836750737,5.848167300775899e-05
reference,scalar,6,linear_all,0.1,3.412192745118979e-05,3.1835196907045228e-06
reference,scalar,6,linear_drop_largest,0.0,0.0,6.790951992034091e-06
reference,scalar,6,linear_drop_largest,0.0025,0.005695826277755318,1.6759273060724234e-08
reference,scalar,6,linear_drop_largest,0.005,0.0010234099724519424,1.2882863903472818e-06
reference,scalar,6,linear_drop_largest,0.0075,0.0012919597803263514,6.6388297698081395e-09
reference,scalar,6,linear_drop_largest,0.01,0.0008224192516636155,4.719949032896785e-09
reference,scalar,6,linear_drop_largest,0.015,0.0003549422288725333,3.3779006972382457e-09
reference,scalar,6,linear_drop_largest,0.02,0.00018132490461677777,2.196618704607037e-09
reference,scalar,6,linear_drop_largest,0.03,0.0014078107267357387,5.0333919125007306e-05
reference,scalar,6,linear_drop_largest,0.05,0.0005411681553600973,2.351110959021452e-05
reference,scalar,6,linear_drop_largest,0.1,5.660450075262645e-05,3.0153043584205147e-06
reference,scalar,6,linear_small3,0.0,0.0,9.514560871311823e-06
reference,scalar,6,linear_small3,0.0025,0.00930787918883261,2.468598273192243e-08
reference,scalar,6,linear_small3,0.005,0.005223746480830004,1.2259976558123842e-08
reference,scalar,6,linear_small3,0.0075,0.0035949314318147936,8.235177861429494e-09
reference,scalar,6,linear_small3,0.01,0.002344843659734075,8.885276783348267e-09
reference,scalar,6,linear_small3,0.015,0.001001282817360796,4.771351247032746e-09
reference,scalar,6,linear_small3,0.02,0.0005120027594494547,3.564002041130195e-09
reference,scalar,6,linear_small3,0.03,0.004557864383072435,7.55149630059504e-05
reference,scalar,6,linear_small3,0.05,0.0009857114663261535,2.3284993086860656e-05
reference,scalar,6,linear_small3,0.075,0.0008630650455459581,4.314014475918371e-05
reference,scalar,6,linear_small3,0.1,0.0002070096382355093,5.924287934867019e-06
reference,scalar,6,quadratic_all,0.0,0.0,9.649332758338022e-06
reference,scalar,6,quadratic_all,0.0025,0.012747072468288784,2.5210249556275205e-08
reference,scalar,6,quadratic_all,0.005,0.008227017122042424,1.978753981664103e-06
reference,scalar,6,quadratic_all,0.0075,0.007558267860063632,8.942048925207087e-09
reference,scalar,6,quadratic_all,0.01,0.008270329168639344,8.562553137598812e-09
reference,scalar,6,quadratic_all,0.015,0.0037696799872926866,4.720413851254464e-09
reference,scalar,6,quadratic_all,0.02,0.0022473920463946953,3.4992842586650123e-09
reference,scalar,6,quadratic_all,0.03,0.01984546143432907,7.738911038463579e-05
reference,scalar,6,quadratic_all,0.05,0.004775520246959146,3.721233859272023e-05
reference,scalar,6,quadratic_all,0.075,0.0024983400705337866,6.942725778955743e-05
reference,scalar,6,quadratic_all,0.1,0.00010952661021749904,2.128913254557177e-06
reference,scalar,6,quadratic_small4,0.0,0.0,1.2262621552707478e-05
reference,scalar,6,quadratic_small4,0.0025,0.010854430268697922,3.2096295100741364e-08
reference,scalar,6,quadratic_small4,0.005,0.01185047769130252,9.6433244458059e-07
reference,scalar,6,quadratic_small4,0.0075,0.01839212596168538,9.811158291028783e-09
reference,scalar,6,quadratic_small4,0.01,0.016997376219259445,1.3628486368266333e-08
reference,scalar,6,quadratic_small4,0.015,0.01003873619248894,6.336656654511588e-09
reference,scalar,6,quadratic_small4,0.02,0.0038881147086577404,5.069784861491647e-09
reference,scalar,6,quadratic_small4,0.03,0.05594210848903551,0.00010699110042305475
reference,scalar,6,quadratic_small4,0.05,0.01235939096745216,4.2409252832917004e-05
reference,scalar,6,quadratic_small4,0.1,0.001293472672531395,1.154892371891784e-05
