config_label,model,iteration,sector,method,Umax,n,C_mean_real,C_mean_imag,C_mean_abs,complex_relative_scatter,phase_spread,log_slope_absC
reference,scalar,4,1,quadratic_small4,0.03,7,1.9406835518813683e-18,4.6053797256220285e-17,4.609466882802811e-17,0.9571003533698039,0.8103261403992104,-0.6196924925656108
reference,scalar,4,1,quadratic_small4,0.05,8,1.6972177650490696e-18,4.0213824142251545e-17,4.024962360427649e-17,1.094924199840746,1.168581504623073,-1.149311987465797
reference,scalar,5,-1,linear_all,0.015,5,1.3334433585403811e-11,1.8785196362468408e-11,2.303672549257037e-11,0.4808646184577414,0.10249830222030511,0.8072962063826137
reference,scalar,5,-1,linear_all,0.02,6,1.5600601052748462e-11,2.357162193488269e-11,2.826659006403247e-11,0.5508974522482994,0.09709978190405397,0.8395874799881458
reference,scalar,5,-1,linear_all,0.03,7,1.5793388783650904e-11,3.0828727540187966e-11,3.463872935052171e-11,0.6608905907050847,0.15186799134037524,0.8524755264116275
reference,scalar,5,-1,linear_all,0.05,8,9.49865808095153e-12,3.7217697201713314e-11,3.841069499940407e-11,0.8321458679011561,0.3343956633352356,0.7980599906825335
reference,scalar,5,-1,linear_drop_largest,0.015,5,1.2269608326774922e-11,1.6949606338361424e-11,2.0924446074338177e-11,0.4903372710355378,0.09328290123214666,0.8418171732718709
reference,scalar,5,-1,linear_drop_largest,0.02,6,1.3941459211804116e-11,2.139876936468833e-11,2.5539608753415188e-11,0.5546661149041877,0.09799665516257233,0.8612541216733786
reference,scalar,5,-1,linear_drop_largest,0.03,7,1.3189743012034564e-11,2.785159288122801e-11,3.0816887363022005e-11,0.6691499955588252,0.18196388717992976,0.8610074618537937
reference,scalar,5,-1,linear_drop_largest,0.05,8,6.609546098081264e-12,3.193842961412864e-11,3.261517109934134e-11,0.8629116434110417,0.3959451565114401,0.7823996435445024
reference,scalar,5,-1,linear_small3,0.015,5,1.1505536351251215e-11,1.5665797372141516e-11,1.9436938391499808e-11,0.5011139181793763,0.07817168214903503,0.926624156311047
reference,scalar,5,-1,linear_small3,0.02,6,1.2163221091787597e-11,1.9435128536190915e-11,2.2927454471571175e-11,0.5381923618149761,0.11410055606234666,0.8919853491788562
reference,scalar,5,-1,linear_small3,0.03,7,1.004562530899001e-11,2.4401538406880243e-11,2.638843808320364e-11,0.6622542087277211,0.24455047288322626,0.853574149513721
reference,scalar,5,-1,linear_small3,0.05,8,4.038478327912391e-12,2.519081810623479e-11,2.551247977101451e-11,0.8974126855119585,0.5040498920895867,0.7196641748488113
reference,scalar,5,-1,quadratic_all,0.015,5,1.0804569368426549e-11,1.4490180238063091e-11,1.8074956225913672e-11,0.5078100920809915,0.078340283585007,0.932342630208821
reference,scalar,5,-1,quadratic_all,0.02,6,1.136539296083339e-11,1.821846023234671e-11,2.1472877086961583e-11,0.5535399211207295,0.1228448361368436,0.9053109782862943
reference,scalar,5,-1,quadratic_all,0.03,7,9.053434487270698e-12,2.298375046693245e-11,2.470258005839714e-11,0.6886815834271051,0.2642692107660649,0.8683724574789606
reference,scalar,5,-1,quadratic_all,0.05,8,2.99733998799485e-12,2.3198257897829065e-11,2.3391092674302788e-11,0.9657393591925229,0.545108568845699,0.7328299097210788
reference,scalar,5,-1,quadratic_small4,0.015,5,1.0849768286881418e-11,1.460850919762466e-11,1.819686821560518e-11,0.5111260810119659,0.07214981896165294,1.013845295670378
reference,scalar,5,-1,quadratic_small4,0.02,6,1.0656746728572626e-11,1.777356860186595e-11,2.0723561269293907e-11,0.5337783220460315,0.15075211438709546,0.9239618510305591
reference,scalar,5,-1,quadratic_small4,0.03,7,7.5255013635871e-12,2.1310450002182135e-11,2.2600186947652795e-11,0.6837165421281565,0.3253318715888072,0.8460535343953369
reference,scalar,5,-1,quadratic_small4,0.05,8,2.614125867375495e-12,1.9712848053627542e-11,1.9885422611448037e-11,1.0002650085455056,0.6432103423430561,0.6545460888759679
reference,scalar,5,1,linear_all,0.015,5,1.3334462654203968e-11,1.8785279448414587e-11,2.3036810070654048e-11,0.48086190088607456,0.10249878373814623,0.8072879611953431
reference,scalar,5,1,linear_all,0.02,6,1.5600628320324232e-11,2.3571699175168226e-11,2.826666952425646e-11,0.5508950794317494,0.09710011563266772,0.8395805541192967
reference,scalar,5,1,linear_all,0.03,7,1.5793413357309914e-11,3.082879930479989e-11,3.4638804425824014e-11,0.6608884615571012,0.15186792678327224,0.8524698147360384
reference,scalar,5,1,linear_all,0.05,8,9.498679256975535e-12,3.72177632044503e-11,3.841076418882384e-11,0.8321438872438383,0.33439539046658373,0.7980554206802806
reference,scalar,5,1,linear_drop_largest,0.015,5,1.2269949271949066e-11,1.6950072076309505e-11,2.0925023262311818e-11,0.4903087811967736,0.09328177176850677,0.841778977411823
reference,scalar,5,1,linear_drop_largest,0.02,6,1.394174981142574e-11,2.1399167598025658e-11,2.5540101050950852e-11,0.5546427096758341,0.09799598820647812,0.8612167869355006
reference,scalar,5,1,linear_drop_largest,0.03,7,1.3189995170292245e-11,2.785194153707478e-11,3.0817310394921946e-11,0.6691318581932515,0.18196386580476193,0.860974264124959
reference,scalar,5,1,linear_drop_largest,0.05,8,6.6097669250524265e-12,3.1938738999483785e-11,3.261551881667167e-11,0.8628973694102999,0.3959453663964285,0.782371930965325
reference,scalar,5,1,linear_small3,0.015,5,1.1505755448899688e-11,1.566585961029038e-11,1.9437118247806496e-11,0.5011062565243837,0.07816182125977854,0.9266032767961729
reference,scalar,5,1,linear_small3,0.02,6,1.2163421517119565e-11,1.9435187754135647e-11,2.292761099725899e-11,0.5381865826296585,0.11409797913996038,0.8919676030343842
reference,scalar,5,1,linear_small3,0.03,7,1.0045807403185219e-11,2.4401596241628832e-11,2.6388560883863395e-11,0.6622504356896702,0.24455237661950385,0.8535593854904086
reference,scalar,5,1,linear_small3,0.05,8,4.038640907133844e-12,2.5190874002915472e-11,2.5512560698752634e-11,0.8974107478968005,0.5040530876787085,0.7196522707489728
reference,scalar,5,1,quadratic_all,0.015,5,1.0805158415512282e-11,1.4490773545130469e-11,1.8075783975268375e-11,0.507763136943833,0.07833284844218048,0.9322774024806035
reference,scalar,5,1,quadratic_all,0.02,6,1.1365899702153226e-11,1.8218965228577258e-11,2.1473573760310927e-11,0.5535017699421939,0.12284327702473702,0.9052476003395351
reference,scalar,5,1,quadratic_all,0.03,7,9.053877320360288e-12,2.2984192312470243e-11,2.470315345838969e-11,0.6886528994909914,0.2642707811933161,0.8683162426907396
reference,scalar,5,1,quadratic_all,0.05,8,2.99772927938894e-12,2.319865037436838e-11,2.3391531801587684e-11,0.9657165477504313,0.545110989506231,0.732783027232003
reference,scalar,5,1,quadratic_small4,0.015,5,1.0849923608090758e-11,1.4608278004401366e-11,1.819677522406874e-11,0.5111353166519376,0.07213994083292431,1.0138336874286829
reference,scalar,5,1,quadratic_small4,0.02,6,1.0656903981635206e-11,1.7773381909296878e-11,2.072348201841365e-11,0.533787502418836,0.15075574273205322,0.9239560388418415
reference,scalar,5,1,quadratic_small4,0.03,7,7.525652237100734e-12,2.131029827320874e-11,2.2600094116770904e-11,0.6837258352546678,0.32533972266725947,0.8460504972575276
reference,scalar,5,1,quadratic_small4,0.05,8,2.6142623358625717e-12,1.9712722178902894e-11,1.9885315769766386e-11,1.0002759137123147,0.6432189123809452,0.6545444197167819
reference,scalar,6,-1,linear_all,0.015,5,1.074019204098447e-16,-3.626981318102399e-17,1.1336080387818796e-16,1.1147752942262612,0.7152218763297288,1.2168888816713619
reference,scalar,6,-1,linear_all,0.02,6,2.1803011127911596e-16,-6.565437082508727e-17,2.277007374446156e-16,1.2329614180189246,0.6633518988605578,1.507910746982846
reference,scalar,6,-1,linear_all,0.03,7,6.985495477041106e-16,-2.462730492963859e-16,7.406901412921315e-16,1.7335367527723862,0.614420595352436,1.8853114629107623
reference,scalar,6,-1,linear_all,0.05,8,5.928914070561595e-15,-3.92410902888293e-15,7.109898292286873e-15,2.38533774869963,0.5717939831288718,2.414737794856822
reference,scalar,6,-1,linear_drop_largest,0.015,5,3.833773910341179e-17,-1.2002624183281766e-17,4.0172692551612344e-17,1.1680756056106871,0.7535125251374817,0.9606819991876402
reference,scalar,6,-1,linear_drop_largest,0.02,6,7.85325247271315e-17,-1.8702430993305657e-17,8.072879514198685e-17,1.2472014793726163,0.7053402108930982,1.3015771817335016
reference,scalar,6,-1,linear_drop_largest,0.03,7,2.5624121806057114e-16,-6.466862586804616e-17,2.642756004719817e-16,1.737515141297897,0.657097294843135,1.724482415573234
reference,scalar,6,-1,linear_drop_largest,0.05,8,2.3560582315239603e-15,-1.071162086525202e-15,2.5881264663730857e-15,2.3861989717478025,0.6106255831872501,2.296832736636711
reference,scalar,6,-1,linear_small3,0.015,5,8.185077674843857e-18,-4.076912155229734e-18,9.144217258174003e-18,1.1472613028054732,0.5836938564058989,0.4280029635895071
reference,scalar,6,-1,linear_small3,0.02,6,1.7213704034833716e-17,-3.700044062949441e-18,1.7606871745617333e-17,1.2700034116500813,0.5790701953716733,0.8974605586585194
reference,scalar,6,-1,linear_small3,0.03,7,5.599975475642737e-17,-8.180876085643224e-18,5.659416282894075e-17,1.729028050331377,0.5526365159044139,1.4128286265037127
reference,scalar,6,-1,linear_small3,0.05,8,5.277835261954968e-16,-1.4042689249265695e-16,5.461457339012152e-16,2.379514674454256,0.518276827185865,2.060106940362962
reference,scalar,6,-1,quadratic_all,0.015,5,4.730913553402664e-20,-1.995711789835503e-18,1.9962724519447248e-18,1.4707932690185448,0.8440073854775408,-1.3915005575288044
reference,scalar,6,-1,quadratic_all,0.02,6,-2.9672702949114344e-19,-1.4810729734276821e-18,1.510504578824094e-18,1.997093850541182,1.0560195614466648,-0.7389188602038074
reference,scalar,6,-1,quadratic_all,0.03,7,-2.013520706369763e-18,-1.6076573978794004e-20,2.0135848855239962e-18,3.0759424624085696,1.1687841387734368,0.12037771793729977
reference,scalar,6,-1,quadratic_all,0.05,8,-4.1146014967963616e-17,5.016142666132989e-17,6.487806464779805e-17,2.5965052804948394,1.2567287320924827,1.2639893351572338
reference,scalar,6,-1,quadratic_small4,0.015,5,-2.7430686062355774e-20,-1.0086308229020704e-18,1.0090037559127117e-18,1.7823604521831364,0.9782372146128527,-1.853858422767014
reference,scalar,6,-1,quadratic_small4,0.02,6,-1.4280056705143178e-19,-7.462784971221247e-19,7.5981813430390535e-19,2.3194532372638204,1.2515943078788325,-1.0936412395211565
reference,scalar,6,-1,quadratic_small4,0.03,7,-5.265165278209039e-19,-3.7183589438672295e-19,6.445786115152712e-19,3.2493948428167254,1.3524473745860217,-0.2978910353430374
reference,scalar,6,-1,quadratic_small4,0.05,8,-9.516077685627051e-18,5.492101713893087e-18,1.098721601474352e-17,2.5906872143922723,1.351713963112855,0.8006036644720881
reference,scalar,6,1,linear_all,0.015,5,1.073894483907952e-16,-3.6313397735997154e-17,1.1336294139096776e-16,1.1151057607136667,0.7161520502948191,1.215844597614514
reference,scalar,6,1,linear_all,0.02,6,2.1802590424117437e-16,-6.570160581929154e-17,2.277103333786486e-16,1.2330550040919503,0.6642077666251595,1.5070062394887858
reference,scalar,6,1,linear_all,0.03,7,6.97867301644245e-16,-2.4659979108570857e-16,7.401555428879357e-16,1.7330598480884134,0.6151651933176471,1.8842927219481307
reference,scalar,6,1,linear_all,0.05,8,5.927731491423739e-15,-3.923400237671939e-15,7.108520947382861e-15,2.3854149322688705,0.5724665868303328,2.4139531751907377
reference,scalar,6,1,linear_drop_largest,0.015,5,3.8308305957454024e-17,-1.2008342468561928e-17,4.014631482679544e-17,1.1698173533244032,0.7552943660132257,0.9609794336276694
reference,scalar,6,1,linear_drop_largest,0.02,6,7.851149662551777e-17,-1.8715045113391825e-17,8.071126325349503e-17,1.2478969393182842,0.7069896294904611,1.30203147549071
reference,scalar,6,1,linear_drop_largest,0.03,7,2.5572564955073805e-16,-6.491923812239838e-17,2.638372894731515e-16,1.7366187160464281,0.6585053518221893,1.7243718344089958
reference,scalar,6,1,linear_drop_largest,0.05,8,2.358159733841774e-15,-1.0713886359626934e-15,2.5901333825852884e-15,2.3867195605176152,0.6119316064445383,2.297143152511254
reference,scalar,6,1,linear_small3,0.015,5,8.164393120892494e-18,-4.089853572582885e-18,9.131495894849084e-18,1.1510850574376434,0.586678395494233,0.42832747541367805
reference,scalar,6,1,linear_small3,0.02,6,1.719901918578347e-17,-3.71550093812212e-18,1.7595772451760517e-17,1.271932596062237,0.5820657068291444,0.8974982114845509
reference,scalar,6,1,linear_small3,0.03,7,5.565435288902998e-17,-8.381032026901926e-18,5.628186824664437e-17,1.7256478553927688,0.5550328086499351,1.4107430281611084
reference,scalar,6,1,linear_small3,0.05,8,5.264964985339232e-16,-1.4054266483774662e-16,5.449319256642765e-16,2.3802254922160793,0.520591847564389,2.0584300670791094
reference,scalar,6,1,quadratic_all,0.015,5,2.5118944344282347e-20,-1.985541154628665e-18,1.9857000372888912e-18,1.4689568705064906,0.8418109189266025,-1.3897399346019255
reference,scalar,6,1,quadratic_all,0.02,6,-3.143921874343776e-19,-1.4723659295057205e-18,1.5055576634221013e-18,1.9907759124207753,1.0523116026882566,-0.7368624448626951
reference,scalar,6,1,quadratic_all,0.03,7,-2.0051559253105176e-18,-9.431677964132418e-20,2.00737289503714e-18,2.9991863716043,1.1574986599275543,0.11446394715635018
reference,scalar,6,1,quadratic_all,0.05,8,-4.0958942701054905e-17,5.067929115913631e-17,6.516153420217184e-17,2.599822460841825,1.2476074571901676,1.2630410124737723
reference,scalar,6,1,quadratic_small4,0.015,5,-3.1873197857492634e-20,-1.0025598830939614e-18,1.003066408534869e-18,1.7843726349474744,0.9859514683489662,-1.8520523922478809
reference,scalar,6,1,quadratic_small4,0.02,6,-1.4592783452587059e-19,-7.410766952838654e-19,7.553076202331504e-19,2.322237266143226,1.258689001123493,-1.090261772304802
reference,scalar,6,1,quadratic_small4,0.03,7,-5.126750946766937e-19,-4.2237765918033596e-19,6.642579616959189e-19,3.0309318981111235,1.3366132740915793,-0.3173958338314481
reference,scalar,6,1,quadratic_small4,0.05,8,-9.600344062718922e-18,5.1958938514833114e-18,1.091622274591649e-17,2.5952407185778914,1.3341367813889855,0.7912137822202031
