# omega signed_A_imp_normalized
-3.500000000000000000e+00 5.661265200871480434e-03
-3.486215538847117656e+00 5.734225967142237736e-03
-3.472431077694235757e+00 5.808617142919100459e-03
-3.458646616541353414e+00 5.884476295932627825e-03
-3.444862155388471070e+00 5.961842225759367113e-03
-3.431077694235589171e+00 6.040755012025580267e-03
-3.417293233082706827e+00 6.121256064791608976e-03
-3.403508771929824483e+00 6.203388177226559601e-03
-3.389724310776942140e+00 6.287195580692024610e-03
-3.375939849624060241e+00 6.372724002357652018e-03
-3.362155388471177897e+00 6.460020725480322863e-03
-3.348370927318295553e+00 6.549134652485014661e-03
-3.334586466165413654e+00 6.640116370993356422e-03
-3.320802005012531311e+00 6.733018222955976066e-03
-3.307017543859648967e+00 6.827894377049858500e-03
-3.293233082706767068e+00 6.924800904516532907e-03
-3.279448621553884724e+00 7.023795858621994029e-03
-3.265664160401002380e+00 7.124939357933311734e-03
-3.251879699248120481e+00 7.228293673616376439e-03
-3.238095238095238138e+00 7.333923320972690271e-03
-3.224310776942355794e+00 7.441895155443647124e-03
-3.210526315789473450e+00 7.552278473327172538e-03
-3.196741854636591551e+00 7.665145117462957708e-03
-3.182957393483709208e+00 7.780569588160881310e-03
-3.169172932330827308e+00 7.898629159660332591e-03
-3.155388471177944965e+00 8.019404002427454881e-03
-3.141604010025062621e+00 8.142977311615463495e-03
-3.127819548872180277e+00 8.269435442030974651e-03
-3.114035087719298378e+00 8.398868049972259275e-03
-3.100250626566416035e+00 8.531368242324382026e-03
-3.086466165413533691e+00 8.667032733322570931e-03
-3.072681704260651792e+00 8.805962009416164540e-03
-3.058897243107769448e+00 8.948260502694772509e-03
-3.045112781954887105e+00 9.094036773363680173e-03
-3.031328320802005205e+00 9.243403701785203597e-03
-3.017543859649122862e+00 9.396478690634913616e-03
-3.003759398496240518e+00 9.553383877751821240e-03
-2.989974937343358619e+00 9.714246360298162131e-03
-2.976190476190476275e+00 9.879198430880902632e-03
-2.962406015037593932e+00 1.004837782632330909e-02
-2.948621553884711588e+00 1.022192798981845854e-02
-2.934837092731829689e+00 1.039999834723628544e-02
-2.921052631578947345e+00 1.058274459840265018e-02
-2.907268170426065446e+00 1.077032902421394198e-02
-2.893483709273183102e+00 1.096292081050135453e-02
-2.879699248120300759e+00 1.116069638960841097e-02
-2.865914786967418415e+00 1.136383980069958187e-02
-2.852130325814536516e+00 1.157254306987247523e-02
-2.838345864661654172e+00 1.178700661120201526e-02
-2.824561403508771829e+00 1.200743964990502559e-02
-2.810776942355889929e+00 1.223406066887195061e-02
-2.796992481203007586e+00 1.246709787987124521e-02
-2.783208020050125242e+00 1.270678972079728256e-02
-2.769423558897242899e+00 1.295338538038596880e-02
-2.755639097744360999e+00 1.320714535188780361e-02
-2.741854636591478656e+00 1.346834201723959290e-02
-2.728070175438596756e+00 1.373726026333193725e-02
-2.714285714285714413e+00 1.401419813201526879e-02
-2.700501253132832069e+00 1.429946750552953463e-02
-2.686716791979949726e+00 1.459339482907159695e-02
-2.672932330827067826e+00 1.489632187223209787e-02
-2.659147869674185483e+00 1.520860653103723453e-02
