# beta0 TK_BA_over_value_at_beta_ref_0p30
0.000000000000000000e+00 0.000000000000000000e+00
7.499999999999999722e-03 0.000000000000000000e+00
1.499999999999999944e-02 0.000000000000000000e+00
2.249999999999999917e-02 1.065352314567137417e-149
2.999999999999999889e-02 3.408245093534123549e-84
3.749999999999999861e-02 7.112222717461014942e-54
4.499999999999999833e-02 2.098183001206708475e-37
5.249999999999999806e-02 1.789106654709957581e-27
5.999999999999999778e-02 4.990025389037191371e-21
6.750000000000000444e-02 1.309463461545044974e-16
7.499999999999999722e-02 1.896580966305946939e-13
8.249999999999999001e-02 4.136791553185244127e-11
8.999999999999999667e-02 2.485598005761323681e-09
9.750000000000000333e-02 6.021852027351650481e-08
1.049999999999999961e-01 7.553167374065446186e-07
1.124999999999999889e-01 5.811140758402535446e-06
1.199999999999999956e-01 3.086709364989832988e-05
1.275000000000000022e-01 1.231834093651021898e-04
1.350000000000000089e-01 3.928650518331252488e-04
1.424999999999999878e-01 1.048376361545078116e-03
1.499999999999999944e-01 2.423610903687961355e-03
1.575000000000000011e-01 4.984996142424573222e-03
1.649999999999999800e-01 9.313994137809814694e-03
1.724999999999999867e-01 1.606843386853875830e-02
1.799999999999999933e-01 2.593150803539337121e-02
1.875000000000000000e-01 3.955868795416769834e-02
1.950000000000000067e-01 5.753108579780998738e-02
2.024999999999999856e-01 8.090002510373536793e-02
2.099999999999999922e-01 1.113207883260240033e-01
2.174999999999999989e-01 1.484074393431444594e-01
2.249999999999999778e-01 1.924762862479960923e-01
2.324999999999999845e-01 2.436965680862444028e-01
2.399999999999999911e-01 3.020999104718210537e-01
2.474999999999999978e-01 3.675954391735409277e-01
2.550000000000000044e-01 4.399881797850224152e-01
2.625000000000000111e-01 5.189988057846327552e-01
2.700000000000000178e-01 6.042832770191259861e-01
2.774999999999999689e-01 6.954513614061808013e-01
2.849999999999999756e-01 7.920834165546075667e-01
2.924999999999999822e-01 8.937451121017261357e-01
2.999999999999999889e-01 1.000000000000000000e+00
3.074999999999999956e-01 1.110419998718096490e+00
3.150000000000000022e-01 1.224593961383380503e+00
3.225000000000000089e-01 1.342134560546729860e+00
3.299999999999999600e-01 1.462683755551807074e+00
3.374999999999999667e-01 1.585917122746841823e+00
3.449999999999999734e-01 1.711547332561569323e+00
3.524999999999999800e-01 1.839327057972309332e+00
3.599999999999999867e-01 1.969051602456376671e+00
3.674999999999999933e-01 2.100561548487367425e+00
3.750000000000000000e-01 2.233745757198540627e+00
3.825000000000000067e-01 2.368545105756968194e+00
3.900000000000000133e-01 2.504957445820835460e+00
3.974999999999999645e-01 2.643044427754875247e+00
4.049999999999999711e-01 2.782941101132493600e+00
4.124999999999999778e-01 2.924869643524981466e+00
4.199999999999999845e-01 3.069159317889237126e+00
4.274999999999999911e-01 3.216276067207944234e+00
4.349999999999999978e-01 3.366867537231421625e+00
4.425000000000000044e-01 3.521833880686398022e+00
4.499999999999999556e-01 3.682443997475091546e+00
4.574999999999999623e-01 3.850537358669239740e+00
4.649999999999999689e-01 4.028901412829657858e+00
4.724999999999999756e-01 4.222052797676828284e+00
4.799999999999999822e-01 4.438111074496612574e+00
4.874999999999999889e-01 4.694492939557273203e+00
4.949999999999999956e-01 5.045854635565549806e+00
5.024999999999999467e-01 5.230905333575819327e+00
5.100000000000000089e-01 4.848118259517179673e+00
5.174999999999999600e-01 4.633231277601887577e+00
5.250000000000000222e-01 4.480414921806842088e+00
5.324999999999999734e-01 4.362780907704844502e+00
5.400000000000000355e-01 4.268418983944855860e+00
5.474999999999999867e-01 4.190785790624454776e+00
5.549999999999999378e-01 4.125824650227434276e+00
5.625000000000000000e-01 4.070815866539325256e+00
5.699999999999999512e-01 4.023833054879004223e+00
5.775000000000000133e-01 3.983454948495899650e+00
5.849999999999999645e-01 3.948599432069447968e+00
5.925000000000000266e-01 3.918421738639244367e+00
5.999999999999999778e-01 3.892248819226705070e+00
