# T FDR_window_weight
5.000000000000000104e-04 4.782447161727658713e-01
9.778081192655203521e-04 4.782450471783832868e-01
1.912217436203150116e-03 4.785627229156381723e-01
3.739563469841074902e-03 4.879754307509500122e-01
7.313151046638697618e-03 5.396137201667110528e-01
1.430171694163691505e-02 7.740293751957355584e-01
2.796866988993964437e-02 1.234572627836395098e+00
5.469598500688020726e-02 1.468394459661400475e+00
1.069643564619052745e-01 1.424399115408936822e+00
2.091812324409246249e-01 1.433911542157477959e+00
4.090782149574087589e-01 1.490209357144866686e+00
8.000000000000000444e-01 1.515610471037559748e+00
