iteration,scale,ground_charge,charge,support_rank,energy_real,energy_imag,energy_abs,physical_gap_abs,addition_weight_abs,removal_weight_abs,total_weight_abs,addition_residue_real,addition_residue_imag,removal_residue_real,removal_residue_imag,max_residual,biorth_error,min_pair_overlap
0,0.7853981633974483,2,3,0,0.22115613617069554,0.0006523026688445662,0.22115709815586523,0.17369637871392574,35.452192705553486,0.0,35.452192705553486,0.5013424824760886,0.001474178677215221,0.0,0.0,1.0810364943289519e-14,1.5793504546070177e-12,9.999999955563577e-5
0,0.7853981633974483,2,1,1,0.22115613617068985,0.000652302668852157,0.22115709815585957,0.1736963787139213,0.0,35.452192705502846,35.452192705502846,0.0,0.0,0.5013424824760833,0.0014741786772187737,1.0810364943289519e-14,1.5793504546070177e-12,9.999999955563577e-5
0,0.7853981633974483,2,3,2,0.21985530388996366,-0.0006484641129792364,0.21985626021165305,0.1726747029816638,35.24368908305143,0.0,35.24368908305143,0.49839393059037107,-0.001474173485698671,0.0,0.0,1.0810364943289519e-14,1.5793504546070177e-12,9.999999955563577e-5
0,0.7853981633974483,2,1,3,0.21985530388996938,-0.0006484641129868426,0.21985626021165877,0.1726747029816683,0.0,35.243689082998756,35.243689082998756,0.0,0.0,0.49839393059037285,-0.0014741734856968947,1.0810364943289519e-14,1.5793504546070177e-12,9.999999955563577e-5
0,0.7853981633974483,2,1,4,0.6622950538590023,0.0006284165442854561,0.6622953519944497,0.5201655530831073,0.0,0.00936598974414201,0.00936598974414201,0.0,0.0,0.00013244687616578146,6.50727063238217e-7,1.0810364943289519e-14,1.5793504546070177e-12,9.999999955563577e-5
0,0.7853981633974483,2,3,5,0.6622950538590009,0.0006284165442878803,0.6622953519944482,0.5201655530831062,0.009365989744132951,0.0,0.009365989744132951,0.0001324468761659276,6.507270629545897e-7,0.0,0.0,1.0810364943289519e-14,1.5793504546070177e-12,9.999999955563577e-5
0,0.7853981633974483,2,1,6,0.6610493433874801,-0.0006172321021658866,0.661049631547047,0.5191871665316106,0.0,0.009273582036306172,0.009273582036306172,0.0,0.0,0.0001311400573762297,-6.559185825325345e-7,1.0810364943289519e-14,1.5793504546070177e-12,9.999999955563577e-5
0,0.7853981633974483,2,3,7,0.6610493433874813,-0.0006172321021683416,0.6610496315470482,0.5191871665316116,0.00927358203629798,0.0,0.00927358203629798,0.0001311400573760389,-6.559185821656405e-7,0.0,0.0,1.0810364943289519e-14,1.5793504546070177e-12,9.999999955563577e-5
1,0.4534498410585544,3,2,0,0.01568140053243683,0.00200931869876763,0.015809607341484712,0.007168863936194397,0.0,64.28812901216162,64.28812901216162,0.0,0.0,0.9091259825803348,-1.055628070645298e-5,1.1455173326033386e-12,5.764254178610153e-10,0.013156270436801112
1,0.4534498410585544,3,4,1,0.01568140053241107,0.0020093186987652713,0.015809607341458864,0.007168863936182677,64.2881290121601,0.0,64.2881290121601,0.9091259825803739,-1.0556280699347553e-5,0.0,0.0,1.1455173326033386e-12,5.764254178610153e-10,0.013156270436801112
1,0.4534498410585544,3,2,2,1.2680756030772962,0.000330819210825252,1.268075646229829,0.5750087002331397,0.0,3.2344028649046628,3.2344028649046628,0.0,0.0,0.045617035097199166,0.0033390522199989725,1.1455173326033386e-12,5.764254178610153e-10,0.013156270436801112
1,0.4534498410585544,3,4,3,1.268075603077266,0.00033081921104871517,1.2680756462297988,0.575008700233126,3.2344028647719796,0.0,3.2344028647719796,0.045617035096928715,0.0033390522202538797,0.0,0.0,1.1455173326033386e-12,5.764254178610153e-10,0.013156270436801112
1,0.4534498410585544,3,2,4,1.2667657484571953,-9.784549464998899e-5,1.2667657522360078,0.5744147290098379,0.0,3.1307552259997813,3.1307552259997813,0.0,0.0,0.044273122522643815,-0.0001423218111393787,1.1455173326033386e-12,5.764254178610153e-10,0.013156270436801112
1,0.4534498410585544,3,4,5,1.2667657484571955,-9.784549467110317e-5,1.266765752236008,0.5744147290098379,3.1307552258332287,0.0,3.1307552258332287,0.04427312252263671,-0.00014232181125017895,0.0,0.0,1.1455173326033386e-12,5.764254178610153e-10,0.013156270436801112
1,0.4534498410585544,3,4,6,1.272406959618928,0.0036885716998797217,1.27241230599514,0.5769751579144449,0.2357842182149469,0.0,0.2357842182149469,0.0009828741843383518,-0.0031861710633291906,0.0,0.0,1.1455173326033386e-12,5.764254178610153e-10,0.013156270436801112
1,0.4534498410585544,3,2,7,1.2724069596189405,0.003688571700086385,1.2724123059951529,0.5769751579144508,0.0,0.23578421820013326,0.23578421820013326,0.0,0.0,0.0009828741839687238,-0.0031861710628652284,1.1455173326033386e-12,5.764254178610153e-10,0.013156270436801112
1,0.4534498410585544,3,2,8,2.548114116174302,0.002009889778891534,2.548114908850005,1.1554423004169676,0.0,3.469384030486515e-5,3.469384030486515e-5,0.0,0.0,4.906175223896418e-7,1.6988322381089225e-9,1.1455173326033386e-12,5.764254178610153e-10,0.013156270436801112
1,0.4534498410585544,3,4,9,2.548114116174305,0.002009889778895184,2.5481149088500077,1.155442300416969,3.4693840302825343e-5,0.0,3.4693840302825343e-5,4.906175223756471e-7,1.6988323694549335e-9,0.0,0.0,1.1455173326033386e-12,5.764254178610153e-10,0.013156270436801112
1,0.4534498410585544,3,4,10,2.5505087162542193,0.0018096200354531205,2.5505093582289438,1.15652806310727,2.265648013815541e-5,0.0,2.265648013815541e-5,3.2037975279577535e-7,-3.125143364832614e-9,0.0,0.0,1.1455173326033386e-12,5.764254178610153e-10,0.013156270436801112
1,0.4534498410585544,3,2,11,2.5505087162541393,0.0018096200354034532,2.550509358228864,1.1565280631072339,0.0,2.2656480133915632e-5,2.2656480133915632e-5,0.0,0.0,3.2037975274342193e-7,-3.1251433324488504e-9,1.1455173326033386e-12,5.764254178610153e-10,0.013156270436801112
1,0.4534498410585544,3,4,12,2.550709072183071,0.0020100161787334966,2.5507098641519503,1.1566189824861888,1.132354734339044e-5,0.0,1.132354734339044e-5,1.6012273402523655e-7,-1.6403438190237186e-9,0.0,0.0,1.1455173326033386e-12,5.764254178610153e-10,0.013156270436801112
