iteration,scale,kept,ground_charge,charge,ordinal,energy_real,energy_imag,energy_abs,max_residual,biorth_error,min_pair_overlap
0,0.7853981633974483,16,2,2,0,0.0,0.0,0.0,2.6045839085324007e-15,2.2636476113988622e-13,0.0009999995558473602
0,0.7853981633974483,16,2,3,0,0.21808644099260766,-0.0021362835029626217,0.21809690381118932,2.6045839085324007e-15,2.2636476113988622e-13,0.0009999995558473602
0,0.7853981633974483,16,2,1,0,0.21808644099260804,-0.0021362835029635273,0.21809690381118974,2.6045839085324007e-15,2.2636476113988622e-13,0.0009999995558473602
0,0.7853981633974483,16,2,1,1,0.22240370309368435,0.002178772714240484,0.2224143749857999,2.6045839085324007e-15,2.2636476113988622e-13,0.0009999995558473602
0,0.7853981633974483,16,2,3,1,0.2224037030936846,0.0021787727142395918,0.22241437498580016,2.6045839085324007e-15,2.2636476113988622e-13,0.0009999995558473602
0,0.7853981633974483,16,2,2,1,0.42140735716415323,-0.003985850921420048,0.4214262066834999,2.6045839085324007e-15,2.2636476113988622e-13,0.0009999995558473602
0,0.7853981633974483,16,2,2,2,0.4254347043839179,4.478475226795941e-5,0.4254347067411234,2.6045839085324007e-15,2.2636476113988622e-13,0.0009999995558473602
0,0.7853981633974483,16,2,2,3,0.4294620445209404,0.004064810098520999,0.42948128057604934,2.6045839085324007e-15,2.2636476113988622e-13,0.0009999995558473602
0,0.7853981633974483,16,2,0,0,0.4572656894609225,3.947958854613784e-5,0.45726569116522475,2.6045839085324007e-15,2.2636476113988622e-13,0.0009999995558473602
0,0.7853981633974483,16,2,4,0,0.4572656894609225,3.947958854613784e-5,0.45726569116522475,2.6045839085324007e-15,2.2636476113988622e-13,0.0009999995558473602
0,0.7853981633974483,16,2,2,4,0.4572656894609225,3.9479588546138365e-5,0.45726569116522475,2.6045839085324007e-15,2.2636476113988622e-13,0.0009999995558473602
0,0.7853981633974483,16,2,1,2,0.6605866056324623,-0.001810087829912171,0.660589085558466,2.6045839085324007e-15,2.2636476113988622e-13,0.0009999995558473602
0,0.7853981633974483,16,2,3,2,0.6605866056324632,-0.0018100878299127893,0.6605890855584668,2.6045839085324007e-15,2.2636476113988622e-13,0.0009999995558473602
0,0.7853981633974483,16,2,3,3,0.6643240308881765,0.001925516972820435,0.6643268213997742,2.6045839085324007e-15,2.2636476113988622e-13,0.0009999995558473602
0,0.7853981633974483,16,2,1,3,0.6643240308881775,0.0019255169728197555,0.6643268213997752,2.6045839085324007e-15,2.2636476113988622e-13,0.0009999995558473602
0,0.7853981633974483,16,2,2,5,0.882700386762085,7.365401336181537e-5,0.8827003898349927,2.6045839085324007e-15,2.2636476113988622e-13,0.0009999995558473602
1,0.4534498410585544,64,3,3,0,0.0,0.0,0.0,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,3,1,0.012773168150479686,0.012766669671329445,0.018059393098807937,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,2,0,0.05194900808252134,0.006381948944444271,0.052339552091008205,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,4,0,0.05194900808252312,0.0063819489444410515,0.05233955209100957,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,2,1,1.2650405681361554,-0.0002934081668898216,1.2650406021620806,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,4,1,1.2650405681361723,-0.00029340816689612994,1.2650406021620975,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,2,2,1.2693408053110846,0.0011457389027336728,1.2693413223973393,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,4,2,1.26934080531109,0.001145738902734894,1.2693413223973447,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,4,3,1.2784067835099662,0.013066070914615516,1.2784735532397389,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,2,3,1.2784067835099795,0.013066070914611223,1.2784735532397522,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,4,4,1.2832677691775887,0.011628191977987222,1.2833204518976162,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,2,4,1.2832677691775993,0.011628191977986521,1.283320451897627,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,3,2,1.312527811934151,0.006134116237606322,1.3125421457929138,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,3,3,1.3130284835029518,0.0066345828263480846,1.313045245290253,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,5,0,1.321498092567124,0.006041762532315231,1.321511903674365,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,3,4,1.3214980925671345,0.006041762532316467,1.3215119036743754,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,1,0,1.32149809256714,0.006041762532305929,1.321511903674381,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,1,1,1.3221859910119096,0.006729390590733528,1.3222031158357888,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,3,5,1.3221859910119145,0.006729390590720526,1.3222031158357936,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,5,1,1.3221859910119207,0.006729390590725986,1.3222031158357999,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,3,6,2.5298824836433575,-0.0005828484398795854,2.5298825507832943,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,3,7,2.533409053071474,0.0010594570085835087,2.53340927460086,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,3,8,2.5355334126250675,5.405782142611261e-5,2.5355334132013265,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,1,2,2.535533412625068,5.4057821426163784e-5,2.535533413201327,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,5,2,2.53553341262507,5.405782142745268e-5,2.535533413201329,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,3,9,2.5381649231913883,0.0028531217139400916,2.538166526771374,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,3,10,2.543833611384391,0.013361305481175628,2.5438687007967045,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,1,3,2.5482117295541014,0.012725908844514872,2.5482435062986077,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
1,0.4534498410585544,64,3,5,3,2.548211729554102,0.012725908844514406,2.548243506298608,1.5827232390252946e-13,3.531407272031572e-11,0.04071219043923531
