iteration,scale,ground_charge,charge,matrix_rank,energy_real,energy_imag,pole_real,pole_imag,matrix_support_abs,add11_real,add11_imag,add12_real,add12_imag,add21_real,add21_imag,add22_real,add22_imag,rem11_real,rem11_imag,rem12_real,rem12_imag,rem21_real,rem21_imag,rem22_real,rem22_imag,max_residual,biorth_error,min_pair_overlap
0,0.7853981633974483,2,3,0,0.22205096784025202,0.0018201271428385565,0.1743984223223598,0.0014295245151352473,26.87190797450091,5.040032201841888,-4.707902627607693,4.713295020040722,4.78542385307343,4.713295020040724,4.785423853073432,-4.537409424386629,4.7119832033353894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.876065432726542e-15,3.236822956976355e-13,0.0006999998476555586
0,0.7853981633974483,2,1,1,0.22205096784025194,0.0018201271428388056,-0.17439842232235972,-0.001429524515135443,26.87190797449825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.537409424386011,4.711983203335071,-4.7132950200404045,-4.785423853072812,-4.7132950200404045,-4.785423853072812,5.040032201841269,-4.707902627607376,7.876065432726542e-15,3.236822956976355e-13,0.0006999998476555586
0,0.7853981633974483,2,3,2,0.21843916410108194,-0.0017903846939137866,0.17156171829906358,-0.0014061648503747907,26.435419382673597,-4.38722958381173,4.70789193152417,-4.713176157788005,-4.631161622854401,-4.713176157788004,-4.631161622854399,4.881687566748567,-4.7119721420464415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.876065432726542e-15,3.236822956976355e-13,0.0006999998476555586
0,0.7853981633974483,2,1,3,0.21843916410108172,-0.0017903846939139852,-0.1715617182990634,0.0014061648503749466,26.435419382671693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.881687566747992,-4.711972142046339,4.713176157787901,4.631161622853824,4.713176157787901,4.631161622853825,-4.387229583811156,4.707891931524067,7.876065432726542e-15,3.236822956976355e-13,0.0006999998476555586
0,0.7853981633974483,2,1,4,0.66401866503193,0.0016032300109403248,-0.5215190399777032,-0.001259173906096202,0.07913600444325229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013439621880973416,0.01380167739924234,-0.01380146360419738,-0.01417001827304921,-0.013801463604197406,-0.014170018273049229,0.014919722818091943,-0.013781398267863077,7.876065432726542e-15,3.236822956976355e-13,0.0006999998476555586
0,0.7853981633974483,2,3,5,0.6640186650319304,0.0016032300109402908,0.5215190399777035,0.0012591739060961752,0.07913600444323668,0.014919722818092783,-0.013781398267857025,0.013801463604191098,0.014170018273049916,0.01380146360419106,0.014170018273049902,-0.013439621880973987,0.013801677399235773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.876065432726542e-15,3.236822956976355e-13,0.0006999998476555586
0,0.7853981633974483,2,1,6,0.6608919392420727,-0.001522429608739708,-0.5190633152849019,0.0011957134186060625,0.07694658471281732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014125494194001453,-0.01380162879970144,0.013800690778700872,0.013396270943966216,0.013800690778700855,0.013396270943966195,-0.012686355523214765,0.013780984462898225,7.876065432726542e-15,3.236822956976355e-13,0.0006999998476555586
0,0.7853981633974483,2,3,7,0.660891939242072,-0.001522429608739627,0.5190633152849013,-0.0011957134186059988,0.07694658471280598,-0.012686355523215096,0.013780984462894169,-0.013800690778696629,-0.013396270943966476,-0.013800690778696648,-0.013396270943966499,0.01412549419400168,-0.013801628799697041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.876065432726542e-15,3.236822956976355e-13,0.0006999998476555586
1,0.4534498410585544,3,4,0,0.05090541606662646,0.005340118668900773,0.023083052824431353,0.0024214759616468747,48.570578696589244,9.03956364403667,-8.58402278407617,8.589988155413419,8.579298250440674,8.58998815541429,8.579298250440342,-8.131050426661222,8.583934096901919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,2,1,0.05090541606663601,0.005340118668898219,-0.023083052824435683,-0.002421475961645717,48.57057869658868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.131050426661247,8.583934096901713,-8.589988155413213,-8.579298250440702,-8.58998815541406,-8.579298250440353,9.039563644036683,-8.584022784075943,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,2,2,1.2690864019060641,0.0012058230173355687,-0.5754670272338774,-0.0005467802555555601,2.490531479919392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4718348213336313,0.38071027288788906,-0.3779570320295791,-0.49465603652084156,-0.3779570320296221,-0.49465603652077683,0.5180059065308432,-0.3745109026618816,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,4,3,1.2690864019060681,0.0012058230173478323,0.5754670272338793,0.0005467802555611211,2.4905314799148175,0.518005906530109,-0.3745109026609285,0.37795703202856745,0.49465603652016477,0.3779570320287592,0.4946560365200072,-0.471834821332919,0.3807102728869662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,4,4,1.2650890165327842,-0.00024590730605727334,0.5736544134717139,-0.00011150662884680789,2.2381192005839425,-0.371403678277334,0.3986201419289614,-0.399069348072864,-0.3920558164367381,-0.399069348073053,-0.3920558164365995,0.41326626719500903,-0.39896928525519737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,2,5,1.2650890165327775,-0.00024590730605420896,-0.5736544134717109,0.00011150662884541835,2.2381192005833745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4132662671945541,-0.3989692852554388,0.3990693480730937,0.39205581643630194,0.39906934807331834,0.3920558164361272,-0.3714036782768798,0.39862014192921413,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,4,6,1.2814349862548873,0.009481437414638777,0.5810664908441495,0.004299356288674584,0.35883107192961283,-0.02016859070023702,-0.08986052498404182,0.08696447124748494,-0.02195108142178913,0.08696447124748108,-0.021951081421791984,0.023611800431198485,0.08409906378471314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,2,7,1.2814349862548973,0.009481437414644193,-0.581066490844154,-0.0042993562886770404,0.3588310719288805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023611800431226935,0.08409906378453022,-0.08696447124728124,0.021951081421817023,-0.08696447124729173,0.021951081421826304,-0.0201685907002714,-0.08986052498383108,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,4,8,2.5772781683428514,0.005342858310512681,1.168666375798748,0.002422718251700352,0.00026806335436792864,5.031742003262562e-5,-4.692119563191219e-5,4.69771567463938e-5,4.777759632939419e-5,4.69771567464013e-5,4.777759632938793e-5,-4.530349379135383e-5,4.6966183221204326e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,2,9,2.577278168342856,0.005342858310513945,-1.16866637579875,-0.0024227182517009248,0.0002680633543665945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5303493790933066e-5,4.696618322116176e-5,-4.6977156746360806e-5,-4.7777596328962894e-5,-4.697715674636973e-5,-4.7777596328947444e-5,5.03174200321744e-5,-4.6921195631890956e-5,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,4,10,2.585400396877465,0.004812411662155589,1.17234939903681,0.0021821873033127854,0.00016849157210655812,-2.7442060946524323e-5,3.048377470201637e-5,-3.0544221884182554e-5,-2.8996001398068772e-5,-3.054422188423972e-5,-2.899600139803018e-5,3.0592675323189745e-5,-3.0564044751019975e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,2,11,2.585400396877457,0.004812411662149229,-1.1723493990368063,-0.0021821873033099014,0.0001684915721057183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.059267532381142e-5,-3.056404475014074e-5,3.054422188331264e-5,2.899600139867403e-5,3.054422188329561e-5,2.8996001398724725e-5,-2.744206094720357e-5,3.0483774701085382e-5,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,4,12,2.585932820459206,0.0053458154526404445,1.1725908264253262,0.0024240591673281736,8.411302579340482e-5,1.5240053471935735e-5,-1.5290081454829577e-5,1.527850638441724e-5,1.4442997200491219e-5,1.527850638441631e-5,1.4442997200495557e-5,-1.366731667337355e-5,1.5246696154889417e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,2,13,2.5859328204592105,0.005345815452627385,-1.1725908264253282,-0.0024240591673222516,8.411302579095524e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3667316674071712e-5,1.5246696153393608e-5,-1.527850638291524e-5,-1.4442997201175923e-5,-1.5278506382931797e-5,-1.4442997201185525e-5,1.524005347261399e-5,-1.529008145334054e-5,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,2,14,3.804372558671681,0.0012334422872675981,-1.7250921320571997,-0.0005593042091163922,4.302407295264156e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.020518158416824e-7,6.735268616010865e-7,-6.695441500325494e-7,-8.415612346324975e-7,-6.695441500410535e-7,-8.415612346339288e-7,8.820071900456024e-7,-6.643825971675222e-7,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,4,15,3.8043725586716843,0.0012334422872686815,1.7250921320572012,0.0005593042091168834,4.3024072952164e-6,8.820071900440707e-7,-6.643825971556149e-7,6.695441500173629e-7,8.41561234630591e-7,6.695441500239457e-7,8.415612346308916e-7,-8.020518158385552e-7,6.735268615808735e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,2,16,3.8004153620751424,-0.00019825245076448336,-1.7232977418894617,8.989754228862386e-5,4.191989710768519e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.720853962166157e-7,-7.492940033146104e-7,7.493773122459771e-7,7.323579387873916e-7,7.493773122564757e-7,7.32357938784186e-7,-6.936788913678753e-7,7.484345861870007e-7,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,4,17,3.800415362075129,-0.00019825245078703216,1.7232977418894557,-8.98975422988486e-5,4.191989710688288e-6,-6.936788913419199e-7,7.48434586188229e-7,-7.493773122462926e-7,-7.323579387586657e-7,-7.493773122522145e-7,-7.323579387596717e-7,7.720853961891188e-7,-7.492940033092657e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,2,18,3.816618031598787,0.009462937377961608,-1.7306448398096828,-0.004290967449983744,4.66588806195543e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.883366090482202e-8,1.0254879180986723e-7,-1.0658738081221825e-7,4.7338581849029205e-8,-1.0658738081108533e-7,4.73385818473037e-8,-4.569423413970967e-8,-1.1069213934009917e-7,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,4,19,3.816618031598793,0.009462937377954488,1.7306448398096854,0.004290967449980516,4.6658880616341193e-7,-4.5694234139826975e-8,-1.1069213933087464e-7,1.0658738080281981e-7,-4.733858184771342e-8,1.0658738080319913e-7,-4.7338581847979255e-8,4.883366090410506e-8,1.0254879180179907e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,2,20,5.121418805417321,0.0053492824476255125,-2.3223065433107757,-0.0024256312756531033,2.028999385497206e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.635728394442959e-16,-3.343269017434559e-16,3.53046257901743e-16,-3.641027142171528e-16,3.530462316542712e-16,-3.6410267369005885e-16,3.6413793064340473e-16,3.7227497982342233e-16,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,4,21,5.121418805417317,0.005349282447618932,2.322306543310774,0.0024256312756501196,2.0289977668536185e-15,3.64137171576758e-16,3.722752918480459e-16,-3.5304644649672437e-16,3.6410187201380303e-16,-3.5304653679702925e-16,3.6410190611797446e-16,-3.635719882525553e-16,-3.3432709028791503e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,4,22,1.2762711490742795,0.010932280044886802,0.5787249496953506,0.004957240648761526,2.751293079591712e-22,-7.223926692248551e-23,-1.481996740566218e-23,1.0503604244777074e-23,-6.784058304534148e-23,1.0491704437790611e-23,-6.793766290635761e-23,6.364463771674819e-23,6.674240128883471e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,2,23,1.2762711490742733,0.010932280044859955,-0.5787249496953478,-0.004957240648749353,2.0356080034408343e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7173791694840005e-23,2.0906766714951736e-24,-4.7032308731459325e-24,5.046933422405816e-23,-4.743361994535584e-24,5.0733978681709694e-23,-5.414804320753054e-23,-7.73314742897935e-24,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,2,24,2.586465243026097,0.005876960344845482,-1.172832253353659,-0.002664906734277611,1.0620430311775195e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1433858503448933e-26,2.576241934772295e-26,-2.418232862357036e-26,1.0934271215217884e-26,-2.326708884192442e-26,1.2713273689666219e-26,-1.2122609112068042e-26,-2.182443331987845e-26,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,4,25,2.586465243026095,0.005876960344834672,1.172832253353658,0.002664906734272709,5.510152396680186e-26,-1.431783642681963e-26,-3.0084867243411963e-27,5.823449461846091e-27,-1.0678028713292542e-26,3.2402675854399415e-27,-1.5114335804633534e-26,1.125662093738944e-26,6.198691179793701e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,4,26,3.811511334410158,0.010893793937677084,1.7283292087811648,0.004939789129564318,8.871514801587815e-27,-5.330639297770763e-28,2.006330175044888e-27,-2.1451854794037633e-27,-1.5460232285112038e-28,-2.280497797722645e-27,-6.077906860521887e-29,-3.7912029489494156e-28,-2.3329155291900655e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,2,27,3.811511334410157,0.010893793937684401,-1.7283292087811644,-0.004939789129567635,3.60061412325939e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.85752467089066e-28,-7.552677144660099e-28,6.003334462792001e-28,-4.953937631284548e-28,8.941248848162279e-28,-4.711002340539716e-28,2.6077009779936365e-28,6.729980557891414e-28,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,2,28,2.590947343360771,0.005345214372113369,-1.1748646610380253,-0.0024237866074587077,1.3447423665804815e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6165892367060117e-30,3.484143340539697e-29,-3.233897690336217e-29,7.390238232182581e-31,-3.482324710491741e-29,2.1588972692389943e-30,-1.2422289084344389e-30,-3.233394183548557e-29,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
1,0.4534498410585544,3,4,29,2.59094734336077,0.005345214372113091,1.174864661038025,0.002423786607458582,1.192499627056565e-28,-2.9029679031114658e-30,-2.8376162614641406e-29,2.9733515419928596e-29,-1.971587835082338e-30,2.922949227197826e-29,-5.7914520982324616e-30,4.9553597950966165e-30,3.073221932639982e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3216799893979873e-13,8.941196876027098e-11,0.03254745542302155
2,0.2617993877991494,4,3,0,0.28268297929388264,0.005567295828960841,-0.0740062309203781,-0.0014575146397187062,25.209375630390735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.305013564916705,4.373406268821436,-4.372079573129358,-4.53768311406655,-4.372079573260699,-4.5376831139475255,4.776469124574647,-4.364395839686764,6.892041947855175e-13,6.898102080649418e-11,0.032951181928597
2,0.2617993877991494,4,5,1,0.28268297929370045,0.00556729582902921,0.0740062309203304,0.001457514639736605,25.20937563008323,4.776469124416558,-4.364395839739938,4.372079573181745,4.537683113904322,4.372079573314986,4.537683113793572,-4.305013564758538,4.373406268874711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.892041947855175e-13,6.898102080649418e-11,0.032951181928597
