beta0,seed,seed_boson_real,seed_boson_imag,seed_delta_c,gauge_fixed_initial_r,status,converged,solver,coarse_function_calls,refined_function_calls,r,delta_c,r_delta_c,delta_recovered_only_above_guard,grid_refinement_error,seed_log_distance_to_solution,coarse_n_f,coarse_x_force,coarse_influence_force,coarse_constraint_residual,coarse_stationarity_divided_residual,coarse_stationarity_raw_residual,coarse_fdr_abs_residual,coarse_charge_continuity_abs_residual,coarse_rate_min_eigenvalue,coarse_spectral_min_eigenvalue,coarse_occupation_min_eigenvalue,coarse_omega_points,coarse_base_spacing,coarse_narrowest_halfwidth,coarse_pole_local_spacing,coarse_points_per_narrowest_halfwidth,n_f,x_force,influence_force,constraint_residual,stationarity_divided_residual,stationarity_raw_residual,fdr_abs_residual,charge_continuity_abs_residual,rate_min_eigenvalue,spectral_min_eigenvalue,occupation_min_eigenvalue,omega_points,base_spacing,narrowest_halfwidth,pole_local_spacing,points_per_narrowest_halfwidth
0.35,real,0.3,0.0,0.8,0.3,CONVERGED,1,constraint_projected_safeguarded_brent,23,9,0.010468828715785698,1.0000001935984664,0.010468830742534881,1.0000001935984664,2.9719258159977002e-06,3.3553803265393016,0.999893375502884,-0.44907292137470234,-0.9584617440644848,2.9718775644838047e-06,-7.956931784569576e-07,-1.6659951191169982e-08,5.841116160804908e-11,3.304711312182715e-23,1.0959637468045921e-05,6.849772754356228e-07,0.27537004969021694,10435.0,0.002,5.4798187340229605e-06,4.5665156116858004e-07,12.0,0.999890403577068,-0.4490711646450159,-0.9584611118272554,-4.825151389553639e-11,-9.58452983645941e-10,-2.0067760235846212e-11,5.844903619637981e-11,3.9373813359749394e-23,1.0959637468045921e-05,6.849772754356228e-07,0.2753694507355739,16867.0,0.002,5.4798187340229605e-06,2.2832578058429002e-07,24.0
0.4,real,0.3,0.0,0.8,0.3,CONVERGED,1,constraint_projected_safeguarded_brent,19,8,0.01025735315097868,1.0000001645096859,0.010257354838412624,1.0000001645096859,7.377919657436394e-07,3.375787645682952,0.9998955243145148,-0.469454072194474,-0.9554021654328503,7.376081787580091e-07,-1.3778163943101163e-07,-2.8265498667293907e-09,5.907758862939527e-11,1.5853400168208196e-23,8.417063493111375e-06,5.260664250407973e-07,0.26517698637141585,12165.0,0.002,4.2085317465556885e-06,3.507109788796407e-07,12.0,0.999894786522549,-0.46945359474328757,-0.9554020734649621,-1.8378709665256565e-10,-4.558885491334763e-10,-9.352419691898724e-12,8.741811434493918e-11,1.938620705757689e-23,8.417063493111375e-06,5.260664250407973e-07,0.26517685934843904,20325.0,0.002,4.2085317465556885e-06,1.7535548943982035e-07,24.0
0.45,real,0.3,0.0,0.8,0.3,CONVERGED,1,constraint_projected_safeguarded_brent,20,9,0.01003546481470414,1.0000001396944591,0.01003546621660297,1.0000001396944591,5.508203413939761e-07,3.397657174127928,0.9998988131822864,-0.49247343636327123,-0.9519840806720018,-4.7626366650455054e-07,-1.0102296166270008e-07,-2.027624754486464e-09,5.859905666619307e-11,2.4140556192991294e-23,6.042633242829885e-06,3.7766455129403526e-07,0.25366529188968745,15045.0,0.002,3.021316621414942e-06,2.5177638511791187e-07,12.0,0.9998992892186724,-0.49247288554292984,-0.9519840327831918,-2.2728041670916355e-10,5.708317152297582e-10,1.1457123186610903e-11,8.789320106421457e-11,2.1818810669526096e-23,6.042633242829885e-06,3.7766455129403526e-07,0.25366581960791634,26085.0,0.002,3.021316621414942e-06,1.2588819255895593e-07,24.0
0.5,real,0.3,0.0,0.8,0.3,CONVERGED,1,constraint_projected_safeguarded_brent,21,10,0.009807411733055882,1.0000001191596621,0.00980741290170375,1.0000001191596621,5.881728029066835e-07,3.420644075538451,0.9999038350150788,-0.5187306067824884,-0.9481264833311333,2.0339980588701678e-08,5.751502800688257e-07,1.1281471210034756e-08,1.1673633706092576e-10,3.401522670637962e-23,3.847412996067285e-06,2.4046329792544016e-07,0.24053455996571707,20805.0,0.002,1.923706498033641e-06,1.6030887483613677e-07,12.0,0.9999038145831094,-0.5187304717006526,-0.9481270715039362,-9.198897199524936e-11,4.856607338510344e-10,9.526149558910328e-12,8.825906315077784e-11,2.656211523969978e-23,3.847412996067285e-06,2.4046329792544016e-07,0.24053461699812642,37605.0,0.002,1.923706498033641e-06,8.015443741806839e-08,24.0
0.55,real,0.3,0.0,0.8,0.3,CONVERGED,1,constraint_projected_safeguarded_brent,19,9,0.009551970257228173,1.0000000994407714,0.009551971207083463,1.0000000994407714,2.3489971301415835e-08,3.4470350317850724,0.9999087818351603,-0.5488902234603573,-0.94373884002555,2.19709552773395e-08,1.151053474757191e-08,2.1989657110719656e-10,1.171705242965187e-10,9.20202513606556e-24,1.8248027158994294e-06,1.140501640723535e-07,0.22545335345170806,21523.0,0.002,9.124013579497142e-07,7.603344649580951e-08,12.0,0.9999087602679203,-0.548890199970386,-0.9437388539461813,4.03715283425754e-10,-2.3744339827658223e-12,-4.536104556226193e-14,1.18143766524396e-10,6.795236592256246e-24,1.8248027158994294e-06,1.140501640723535e-07,0.2254533545875961,39043.0,0.002,9.124013579497142e-07,3.8016723247904756e-08,24.0
