beta0,threshold,active_RG_scale,control_RG_scale,active_to_control_scale_ratio,petermann_factor,bare_SW_exchange,flat_band_SW_scale
0.35,0.2,0.25886029509181413,0.23576764346296522,1.0979466532797422,2.34017094017094,0.24,0.029775873640523403
0.35,0.25,0.22934589178537468,0.21273622366948933,1.0780763512174139,2.34017094017094,0.24,0.029775873640523403
0.35,0.3,0.20727353172926966,0.19532525932127165,1.061171158556331,2.34017094017094,0.24,0.029775873640523403
0.35,0.4,0.17580196847866297,0.17012357769690467,1.033378035300169,2.34017094017094,0.24,0.029775873640523403
0.35,0.5,0.15407003293695865,0.1524035251553789,1.0109348374972345,2.34017094017094,0.24,0.029775873640523403
0.35,0.6,0.13811003532856317,0.1391936850722583,0.992214806705257,2.34017094017094,0.24,0.029775873640523403
0.35,0.75,0.12103030559205373,0.12481471439244934,0.9696797864032564,2.34017094017094,0.24,0.029775873640523403
0.35,1.0,0.10346483838621003,0.10958309783204181,0.9441678546520992,2.34017094017094,0.24,0.029775873640523403
0.4,0.2,0.26203664669785537,0.23735862529310162,1.1039693475401628,3.43809523809524,0.24,0.029775873640523403
0.4,0.25,0.23164129226048844,0.21430975232576874,1.0808714477368921,3.43809523809524,0.24,0.029775873640523403
0.4,0.3,0.2089400452766216,0.1968595275650952,1.0613661825817995,3.43809523809524,0.24,0.029775873640523403
0.4,0.4,0.17665031983035404,0.17153843741893493,1.0298002155571393,3.43809523809524,0.24,0.029775873640523403
0.4,0.5,0.15443054417975216,0.15367022494626328,1.00494773293756,3.43809523809524,0.24,0.029775873640523403
0.4,0.6,0.13815696118568402,0.14030659536971998,0.9846790225479316,3.43809523809524,0.24,0.029775873640523403
0.4,0.75,0.1207729436013501,0.12572006239500136,0.9606497268661238,3.43809523809524,0.24,0.029775873640523403
0.4,1.0,0.10290767857151556,0.11024571094006864,0.9334392938647549,3.43809523809524,0.24,0.029775873640523403
0.45,0.2,0.2648693970303371,0.23897492738448087,1.1083564285561858,6.760000000000012,0.24,0.029775873640523403
0.45,0.25,0.2336031216755764,0.2159082998624858,1.0819552644542179,6.760000000000012,0.24,0.029775873640523403
0.45,0.3,0.21028931748475632,0.1984183790622451,1.0598278167507216,6.760000000000012,0.24,0.029775873640523403
0.45,0.4,0.17723421497690967,0.1729760589702979,1.0246170252227964,6.760000000000012,0.24,0.029775873640523403
0.45,0.5,0.15460014813544962,0.15495613871337538,0.997702636495194,6.760000000000012,0.24,0.029775873640523403
0.45,0.6,0.1380955885234494,0.14143372402936982,0.9763978815602193,6.760000000000012,0.24,0.029775873640523403
0.45,0.75,0.12052297199835033,0.12663148688751616,0.9517614849252154,6.760000000000012,0.24,0.029775873640523403
0.45,1.0,0.10248293827963766,0.11090466808339315,0.9240633424246588,6.760000000000012,0.24,0.029775873640523403
