beta0,control_gamma_pt_zero,log_scale,cutoff,gmax,exchange_trace_real
0.5,0,0.0,0.7853981633974483,0.026072419960503825,0.48
0.5,0,0.006673167278729874,0.7801745185850752,0.02641653664010615,0.48009367363802
0.5,0,0.013346334557459748,0.7749856159791364,0.02676511379335732,0.4801886374252383
0.5,0,0.020019501836189623,0.7698312245109142,0.02711820711465313,0.48028490952995084
0.5,0,0.026692669114919496,0.7647111146485179,0.02747587293899271,0.48038250838635677
0.5,0,0.03336583639364937,0.7596250583866619,0.027838168247941483,0.48048145269869214
0.5,0,0.040039003672379246,0.754572829236513,0.028205150675613425,0.48058176144543374
0.5,0,0.04671217095110912,0.7495542022156038,0.028576878514670848,0.4806834538835718
0.5,0,0.05338533822983899,0.7445689538378143,0.028953410722341373,0.4807865495529571
0.5,0,0.060058505508568866,0.73961686210342,0.02933480692645076,0.4808910682807209
0.5,0,0.06673167278729875,0.7346977064892057,0.029721127431470346,0.48099703018576934
0.5,0,0.07340484006602861,0.7298112679386453,0.03011243322457806,0.48110445568335436
0.5,0,0.08007800734475849,0.7249573288521466,0.03050878598173211,0.4812133654897236
0.5,0,0.08675117462348836,0.7201356730773623,0.03091024807375547,0.4813237806268471
0.5,0,0.09342434190221824,0.7153460858995632,0.031316882572430656,0.4814357224272265
0.5,0,0.1000975091809481,0.7105883540320777,0.031728753256603015,0.48154921253878646
0.5,0,0.10677067645967799,0.7058622656067932,0.03214592461829127,0.4816642729298482
0.5,0,0.11344384373840787,0.7011676101647216,0.03256846186880418,0.48178092589418925
0.5,0,0.12011701101713773,0.6965041786466274,0.03299643094486167,0.4818991940561913
0.5,0,0.1267901782958676,0.6918717633837178,0.03342989851471911,0.4820191003760736
0.5,0,0.1334633455745975,0.6872701580883945,0.03386893198429329,0.4821406681552186
0.5,0,0.14013651285332734,0.682699157845069,0.03431359950328842,0.4822639210415899
0.5,0,0.14680968013205722,0.6781585591010352,0.034763969971320835,0.48238888303524097
0.5,0,0.1534828474107871,0.673648159657407,0.03522011304404057,0.48251557849392185
0.5,0,0.16015601468951698,0.6691677586601127,0.035682099139248385,0.48264403213878243
0.5,0,0.16682918196824686,0.6647171565909513,0.036149999443006404,0.48277426906017296
0.5,0,0.17350234924697672,0.6602961552587079,0.03662388591574067,0.48290631472354706
0.5,0,0.1801755165257066,0.6559045577903272,0.03710383129833408,0.4830401949754677
0.5,0,0.18684868380443648,0.6515421686221475,0.03758990911820746,0.48317593604971554
0.5,0,0.19352185108316636,0.647208793491191,0.03808219369538753,0.4833135645735058
0.5,0,0.2001950183618962,0.6429042394265139,0.03858076014855935,0.48345310757381477
0.5,0,0.2068681856406261,0.6386283147406123,0.039085684401101585,0.48359459248381287
0.5,0,0.21354135291935597,0.6343808290208867,0.03959704318710268,0.4837380471494147
0.5,0,0.22021452019808585,0.6301615931211626,0.04011491405735588,0.48388349983594353
0.5,0,0.22688768747681573,0.6259704191532673,0.04063937538533089,0.48403097923490945
0.5,0,0.23356085475554558,0.6218071204786635,0.041170506373120405,0.48418051447091076
0.5,0,0.24023402203427546,0.6176715117001371,0.041708387057359415,0.4843321351086565
0.5,0,0.24690718931300534,0.6135634086535422,0.04225309831511449,0.4844858711601101
0.5,0,0.2535803565917352,0.6094826283995998,0.04280472186974169,0.4846417530917623
0.5,0,0.2602535238704651,0.6054289892157506,0.04336334029671071,0.48479981183203336
0.5,0,0.266926691149195,0.6014023105880636,0.04392903702939212,0.48496007877880265
0.5,0,0.27359985842792484,0.597402413203197,0.04450189636480657,0.4851225858070761
0.5,0,0.2802730257066547,0.5934291189404132,0.045082003469333366,0.4852873652767894
0.5,0,0.2869461929853846,0.5894822508636469,0.045669444384374834,0.4854544500407469
0.5,0,0.29361936026411445,0.5855616332136263,0.046264306031975906,0.4856238734527064
0.5,0,0.30029252754284436,0.5816670914000454,0.0468666762203954,0.4857956693756076
0.5,0,0.3069656948215742,0.57779845199379,0.04747664364962612,0.48596987218994436
0.5,0,0.31363886210030406,0.5739555427192146,0.04809429791686263,0.48614651680229126
0.5,0,0.32031202937903397,0.5701381924464705,0.048719729521912884,0.4863256386539826
0.5,0,0.3269851966577638,0.5663462311838852,0.049353029872551586,0.4865072737299441
0.5,0,0.33365836393649373,0.5625794900703925,0.04999429128981289,0.4866914585676875
0.5,0,0.3403315312152236,0.5588378013680133,0.05064360701321965,0.4868782302664666
0.5,0,0.34700469849395343,0.5551209984543849,0.051301071205946285,0.4870676264965962
0.5,0,0.35367786577268334,0.5514289158153424,0.05196677895991288,0.4872596855089423
0.5,0,0.3603510330514132,0.5477613890375471,0.052640826300808186,0.4874544461445848
0.5,0,0.36702420033014305,0.5441182548011659,0.053323310193037494,0.48765194784465127
0.5,0,0.37369736760887295,0.5404993508725973,0.054014328544594474,0.48785223066033423
0.5,0,0.3803705348876028,0.536904516097248,0.054713980211852684,0.48805533526308953
0.5,0,0.3870437021663327,0.5333335903923558,0.05542236500427455,0.4882613029550174
0.5,0,0.39371686944506257,0.5297864147398613,0.05613958368903519,0.4884701756794372
0.5,0,0.4003900367237924,0.5262628311793264,0.05686573799555848,0.4886819960316552
0.5,0,0.4070632040025223,0.5227626828009,0.05760093061996129,0.488896807269925
0.5,0,0.4137363712812522,0.5192858137383309,0.058345265229404815,0.4891146533266147
0.5,0,0.4204095385599821,0.5158320691620268,0.05909884646634945,0.48933557881957734
0.5,0,0.42708270583871194,0.5124012952721592,0.05986177995270946,0.4895596290637273
0.5,0,0.4337558731174418,0.5089933392918151,0.0606341722939065,0.48978685008283507
0.5,0,0.4404290403961717,0.5056080494601929,0.06141613108281824,0.4900172886215379
0.5,0,0.44710220767490155,0.5022452750258449,0.06220776490361811,0.4902509921575696
0.5,0,0.45377537495363146,0.49890486623996394,0.06300918333550627,0.49048800891422123
0.5,0,0.4604485422323613,0.4955866743497147,0.06382049695632663,0.49072838787303175
0.5,0,0.46712170951109117,0.49229055159160984,0.06464181734606778,0.49097217878671096
0.5,0,0.4737948767898211,0.48901635118492964,0.06547325709024597,0.49121943219230774
0.5,0,0.4804680440685509,0.4857639273251859,0.06631492978316687,0.4914701994246227
0.5,0,0.48714121134728083,0.4825331351776289,0.06716695003106322,0.491724532629867
0.5,0,0.4938143786260107,0.47932383087079783,0.06802943345510647,0.4919824847795822
0.5,0,0.5004875459047405,0.47613587149011366,0.06890249669429023,0.4922441096848197
0.5,0,0.5071607131834704,0.47296911507151546,0.06978625740818083,0.49250946201058143
0.5,0,0.5138338804622004,0.46982342059513843,0.07068083427953627,0.49277859729053886
0.5,0,0.5205070477409302,0.46669864797903393,0.07158634701678837,0.4930515719420262
0.5,0,0.5271802150196601,0.4635946580729313,0.07250291635638624,0.49332844328131364
0.5,0,0.53385338229839,0.4605113126520418,0.07343066406500069,0.4936092695391737
0.5,0,0.5405265495771198,0.4574484744109029,0.0743697129415858,0.4938941098767422
0.5,0,0.5471997168558497,0.45440600695726413,0.07532018681929545,0.4941830244016737
0.5,0,0.5538728841345796,0.4513837748060128,0.07628221056725534,0.49447607418461237
0.5,0,0.5605460514133094,0.4483816433731417,0.07725591009218628,0.4947733212759725
0.5,0,0.5672192186920393,0.44539947896975457,0.07824141233987722,0.4950748287230355
0.5,0,0.5738923859707692,0.4424371487961142,0.07923884529650911,0.4953806605873805
0.5,0,0.580565553249499,0.43949452093572744,0.08024833798982567,0.49569088196264577
0.5,0,0.5872387205282289,0.4365714643494714,0.0812700204901498,0.49600555899262566
0.5,0,0.5939118878069588,0.4336678488697581,0.08230402391124698,0.49632475888972455
0.5,0,0.6005850550856887,0.4307835451947377,0.08335048041103316,0.49664854995376095
0.5,0,0.6072582223644185,0.4279184248825409,0.08440952319212508,0.4969770015911315
0.5,0,0.6139313896431484,0.4250723603455585,0.08548128650223609,0.49731018433435253
0.5,0,0.6206045569218783,0.42224522484476085,0.08656590563441449,0.4976481698619769
0.5,0,0.6272777242006081,0.41943689248405286,0.08766351692712371,0.49799103101889314
0.5,0,0.633950891479338,0.4166472382046687,0.08877425776416802,0.49833884183702737
0.5,0,0.6406240587580679,0.4138761377796018,0.08989826657446097,0.49869167755644583
0.5,0,0.6472972260367977,0.41112346780807385,0.0910356828316368,0.49904961464686415
0.5,0,0.6539703933155276,0.4083891057100386,0.09218664705350971,0.49941273082958715
0.5,0,0.6606435605942576,0.40567292972072405,0.09335130080137806,0.49978110509987517
0.5,0,0.6673167278729875,0.4029748188852095,0.09452978667917587,0.5001548177497449
0.5,0,0.6739898951517173,0.4002946530530398,0.09572224833247553,0.50053395039123
0.5,0,0.6806630624304472,0.39763231287287437,0.09692883044734261,0.5009185859800965
0.5,0,0.6873362297091771,0.39498767978717253,0.09814967874904208,0.5013088088400225
0.5,0,0.6940093969879069,0.39236063602691434,0.0993849400006054,0.5017047046872689
0.5,0,0.7006825642666368,0.38975106460635556,0.10063476200125626,0.5021063606558358
0.5,0,0.7073557315453667,0.38715884931781835,0.1018992935846988,0.5025138653231158
0.5,0,0.7140288988240965,0.38458387472651684,0.10317868461727642,0.5029273087360716
0.5,0,0.7207020661028264,0.38202602616541587,0.10447308599600166,0.5033467824379325
0.5,0,0.7273752333815563,0.37948518973012535,0.10578264964646156,0.5037723794954234
0.5,0,0.7340484006602861,0.3769612522738278,0.10710752852060859,0.5042041945265539
0.5,0,0.740721567939016,0.3744541014022394,0.10844787659443847,0.5046423237289632
0.5,0,0.7473947352177459,0.37196362546860545,0.10980384886556045,0.5050868649088347
0.5,0,0.7540679024964758,0.36948971356872834,0.1111756013506728,0.5055379175104109
0.5,0,0.7607410697752056,0.3670322555360289,0.11256329108294491,0.5059955826461022
0.5,0,0.7674142370539355,0.3645911419366403,0.11396707610931504,0.5064599631272082
0.5,0,0.7740874043326654,0.3621662640645351,0.11538711548771598,0.5069311634952807
0.5,0,0.7807605716113952,0.35975751393668454,0.11682356928423414,0.5074092900541244
0.5,0,0.7874337388901251,0.35736478428824936,0.11827659857021022,0.5078944509024541
0.5,0,0.794106906168855,0.3549879685678038,0.11974636541929937,0.508386755967241
0.5,0,0.8007800734475848,0.35262696093259027,0.12123303290449386,0.5088863170377419
0.5,0,0.8074532407263147,0.35028165624380625,0.12273676509512244,0.5093932478002351
0.5,0,0.8141264080050447,0.3479519500619222,0.12425772705384448,0.5099076638734951
0.5,0,0.8207995752837746,0.34563773864203085,0.12579608483364343,0.5104296828450018
0.5,0,0.8274727425625044,0.3433389189292273,0.12735200547483871,0.5109594243079087
0.5,0,0.8341459098412343,0.3410553885540195,0.1289256570021337,0.5114970098988061
0.5,0,0.8408190771199642,0.33878704582777036,0.13051720842170897,0.5120425633362733
0.5,0,0.847492244398694,0.3365337897381685,0.13212682971838058,0.5125962104602486
0.5,0,0.8541654116774239,0.33429551994473067,0.13375469185284566,0.5131580792722545
0.5,0,0.8608385789561538,0.33207213677433334,0.13540096675902585,0.5137282999764732
0.5,0,0.8675117462348836,0.329863541216774,0.13706582734153092,0.5143070050217017
0.5,0,0.8741849135136135,0.32766963492036216,0.13874944747327028,0.5148943291442306
0.5,0,0.8808580807923434,0.3254903201875395,0.14045200199322266,0.5154904094116382
0.5,0,0.8875312480710732,0.32332549997052956,0.14217366670439094,0.5160953852675341
0.5,0,0.8942044153498031,0.32117507786701577,0.14391461837197414,0.5167093985772994
0.5,0,0.900877582628533,0.3190389581158488,0.14567503472176815,0.5173325936748148
0.5,0,0.9075507499072629,0.31691704559278194,0.1474550944388274,0.5179651174102151
0.5,0,0.9142239171859927,0.3148092458062352,0.14925497716642183,0.5186071191987205
0.5,0,0.9208970844647226,0.31271546489308755,0.15107486350530494,0.5192587510705339
0.5,0,0.9275702517434525,0.3106356096144969,0.15291493501332887,0.5199201677218516
0.5,0,0.9342434190221823,0.3085695873517481,0.15477537420544532,0.5205915265670364
0.5,0,0.9409165863009122,0.3065173061021288,0.1566563645541111,0.5212729877919466
0.5,0,0.9475897535796421,0.30447867447483185,0.15855809049013853,0.52196471440847
0.5,0,0.9542629208583719,0.30245360168688623,0.1604807374040351,0.5226668723103169
0.5,0,0.9609360881371019,0.3004419975591137,0.1624244916478545,0.5233796303300675
0.5,0,0.9676092554158318,0.29844377251211357,0.164389540537603,0.5241031602975258
0.5,0,0.9742824226945617,0.2964588375622733,0.16637607235625332,0.5248376370994403
0.5,0,0.9809555899732915,0.29448710431780606,0.16838427635738804,0.5255832387405843
0.5,0,0.9876287572520214,0.29252848497481426,0.17041434276952733,0.5263401464062596
0.5,0,0.9943019245307513,0.29058289231337997,0.17246646280119318,0.5271085445262814
0.5,0,1.000975091809481,0.28865023969368064,0.17454082864674017,0.5278886208404441
0.5,0,1.007648259088211,0.2867304410521308,0.1766376334930121,0.5286805664655351
0.5,0,1.014321426366941,0.28482341089754987,0.17875707152688355,0.5294845759639608
0.5,0,1.0209945936456708,0.2829290643073548,0.18089933794371957,0.5303008474139855
0.5,0,1.0276677609244007,0.2810473169237787,0.18306462895682005,0.5311295824816563
0.5,0,1.0343409282031304,0.27917808495011376,0.18525314180791638,0.5319709864944873
0.5,0,1.0410140954818603,0.2773212851469801,0.1874650747787546,0.5328252685169006
0.5,0,1.0476872627605902,0.27547683482861895,0.18970062720384234,0.5336926414275105
0.5,0,1.0543604300393201,0.27364465185921055,0.191959999484432,0.534573321998326
0.5,0,1.06103359731805,0.2718246546492163,0.1942433931037818,0.5354675309758737
0.5,0,1.06770676459678,0.2700167621517456,0.19655101064377703,0.5363754931643359
0.5,0,1.0743799318755096,0.26822089385894704,0.19888305580299467,0.537297437510786
0.5,0,1.0810530991542395,0.2664369697984227,0.20123973341625742,0.5382335971925262
0.5,0,1.0877262664329694,0.26466491052966723,0.20362124947576596,0.5391842097066306
0.5,0,1.0943994337116993,0.2629046371405304,0.2060278111539069,0.540149516961788
0.5,0,1.1010726009904293,0.2611560712437026,0.2084596268277801,0.5411297653724451
0.5,0,1.1077457682691592,0.2594191349732245,0.21091690610555236,0.5421252059553732
0.5,0,1.114418935547889,0.2576937509810195,0.21339985985473825,0.5431360944287544
0.5,0,1.1210921028266188,0.2559798424334492,0.2159087002324599,0.5441626913137965
0.5,0,1.1277652701053487,0.25427733300789185,0.21844364071780373,0.5452052620390075
0.5,0,1.1344384373840786,0.252586146889344,0.2210048961463846,0.546264077047242
0.5,0,1.1411116046628085,0.25090620876704395,0.22359268274717478,0.5473394119055248
0.5,0,1.1477847719415384,0.24923744383111818,0.22620721818173042,0.5484315474178072
0.5,0,1.1544579392202683,0.24757977776925,0.22884872158593347,0.5495407697407684
0.5,0,1.161131106498998,0.24593313676337036,0.23151741361431505,0.5506673705026807
0.5,0,1.1678042737777279,0.24429744748637047,0.23421351648710612,0.5518116469255057
0.5,0,1.1744774410564578,0.24267263709883666,0.23693725404014535,0.5529739019503487
0.5,0,1.1811506083351877,0.24105863324580656,0.2396888517777161,0.5541544443662947
0.5,0,1.1878237756139176,0.2394553640535472,0.24246853692847542,0.555353588942811
0.5,0,1.1944969428926475,0.2378627581263543,0.2452765385046158,0.55657165656586
0.5,0,1.2011701101713774,0.23628074454337278,0.2481130873643408,0.557808974377749
0.5,0,1.2078432774501071,0.23470925285543898,0.25097841627783074,0.5590658759209272
0.5,0,1.214516444728837,0.23314821308194275,0.2538727599968605,0.5603427012858854
0.5,0,1.221189612007567,0.23159755570771198,0.2567963553281479,0.5616397972631944
0.5,0,1.2278627792862968,0.23005721167991644,0.25974944121063837,0.562957517499918
0.5,0,1.2345359465650267,0.22852711240499277,0.26273225879689543,0.5642962226605717
0.5,0,1.2412091138437567,0.2270071897455902,0.26574505153868766,0.5656562805926726
0.5,0,1.2478822811224866,0.22549737601753608,0.2687880652769987,0.5670380664971446
0.5,0,1.2545554484012162,0.223997603986822,0.2718615483366451,0.5684419631037713
0.5,0,1.2612286156799462,0.22250780686660943,0.2749657516256037,0.5698683608517481
0.5,0,1.267901782958676,0.22102791831425606,0.2781009287392965,0.571317658075635
0.5,0,1.274574950237406,0.21955787242836106,0.2812673360700396,0.5727902611969211
0.5,0,1.2812481175161359,0.21809760374583081,0.2844652329217642,0.5742865849212667
0.5,0,1.2879212847948658,0.21664704723896336,0.2876948816302873,0.5758070524417591
0.5,0,1.2945944520735955,0.21520613831255295,0.2909565476893582,0.5773520956484204
0.5,0,1.3012676193523254,0.21377481280101324,0.294250499882599,0.5789221553440459
0.5,0,1.3079407866310553,0.21235300696552015,0.2975770104216469,0.5805176814667541
0.5,0,1.3146139539097852,0.21094065749117344,0.3009363550907508,0.5821391333195103
0.5,0,1.321287121188515,0.2095377014841771,0.30432881339794515,0.5837869798067247
0.5,0,1.327960288467245,0.20814407646903876,0.30775466873315294,0.5854616996783506
0.5,0,1.334633455745975,0.20675972038578744,0.31121420853348764,0.5871637817817801
0.5,0,1.3413066230247046,0.20538457158721002,0.3147077244558933,0.588893725321654
0.5,0,1.3479797903034345,0.204018568836106,0.3182355125575169,0.5906520401280726
0.5,0,1.3546529575821644,0.2026616513025604,0.32179787348410754,0.592439246933538
0.5,0,1.3613261248608943,0.20131375856123515,0.3253951126665982,0.5942558776587686
0.5,0,1.3679992921396242,0.19997483058867815,0.3290275405263096,0.5961024757079385
0.5,0,1.3746724594183541,0.19864480776065038,0.33269547268910404,0.5979795962737121
0.5,0,1.3813456266970838,0.19732363084947055,0.33639923020866075,0.5998878066522465
0.5,0,1.3880187939758137,0.1960112410213779,0.3401391397993648,0.6018276865687824
0.5,0,1.3946919612545436,0.19470757983391218,0.3439155340791749,0.6037998285142494
0.5,0,1.4013651285332736,0.19341258923331098,0.34772875182265983,0.6058048380930853
0.5,0,1.4080382958120035,0.19212621155192472,0.351579138224758,0.6078433343829792
0.5,0,1.4147114630907334,0.19084838950564853,0.35546704517566774,0.6099159503070194
0.5,0,1.4213846303694633,0.18957906619137124,0.35939283154707596,0.612023333018485
0.5,0,1.428057797648193,0.18831818508444165,0.36335686349035745,0.6141661442990887
0.5,0,1.4347309649269229,0.187065690036151,0.36735951474719475,0.6163450609712187
0.5,0,1.4414041322056528,0.1858215252712331,0.3714011669728555,0.618560775324464
