beta0,coherent_D,relative_G,splitting_s,inverse_splitting,projector_plus_frobenius_norm,projector_completeness_error,projector_idempotency_error,pole_sum_resolvent_error,two_charge_SW_resolvent_error,normalized_complete_charge_factor
0.2,0.08499999999999999,0.04000000000000001,0.07499999999999998,13.333333333333336,1.1333333333333335,0.0,1.6036554800141253e-18,2.482534153247273e-16,4.440892098500626e-16,1.005656819610308
0.35,0.0925,0.06999999999999999,0.06046693311223913,16.53796461189446,1.5297617266002375,0.0,6.1480045116507515e-18,7.021666937153402e-16,4.440892098500626e-16,1.0036696672207759
0.45,0.0975,0.09000000000000001,0.03749999999999999,26.66666666666667,2.6000000000000005,0.0,3.885780586188048e-16,2.2887833992611187e-16,4.440892098500626e-16,1.001408230323893
0.48,0.099,0.096,0.024186773244895658,41.34491152973614,4.093146241443878,0.0,1.3322676295501878e-15,6.661338147750939e-16,2.146144493502874e-18,1.0005853424253188
0.49,0.0995,0.098,0.017211914478058494,58.09928937741272,5.780879293052566,0.0,2.3314683517128287e-15,2.318213734067276e-15,4.440892098500626e-16,1.0002963377900702
0.495,0.09975,0.099,0.012209115447074776,81.90601557786019,8.170125053891553,0.0,5.329070518200751e-15,2.373385746427198e-15,4.440892098500626e-16,1.0001490847229415
0.499,0.09995,0.0998,0.005473801238627452,182.68840178982248,18.259705758892757,0.0,1.7763568394002505e-14,3.625264947627759e-15,4.440892098500626e-16,1.0000299633977783
0.4999,0.099995,0.09998000000000001,0.001731942551009201,577.3863569650744,57.73574876472261,0.0,3.3306690738754696e-14,1.1133826641568277e-14,4.440892098500626e-16,1.0000029996339976
