beta0,omega,phase_1,phase_2,eigenvalue_modulus_error,spin_basis_offdiagonal_magnitude,fixed_chiral_basis_offdiagonal_magnitude,bethe_phase_density
0.35,-0.09999999999999787,0.770883452405476,3.0184260895094126,4.440892098500626e-16,0.7122579792340611,0.5530085269792795,3.3442487708011472
0.35,0.0,-1.6230873743981569,1.6230873743981569,1.1102230246251565e-16,0.9986331346706311,1.0873246359049719e-16,4.230910221342179
0.35,0.10000000000000142,-3.0184260895093553,-0.770883452405459,4.440892098500626e-16,0.7122579792340448,0.5530085269792867,3.3442487708010784
0.45,-0.09999999999999787,0.5160971926500874,3.100228082814984,3.3306690738754696e-16,0.6268192461539212,0.7289704801372396,3.233412721199177
0.45,0.0,-1.3665318579074646,1.3665318579074646,3.3306690738754696e-16,0.9792104496466812,5.519167320062795e-17,4.833175021533242
0.45,0.10000000000000142,-3.1002280828149256,-0.5160971926500735,2.220446049250313e-16,0.6268192461539043,0.7289704801372462,3.233412721199093
0.5,-0.09999999999999787,-3.1415926535897576,0.3626395488029867,4.440892098500626e-16,0.5437089820254849,0.8196721311475377,3.1309169132832415
0.5,0.0,-1.1713710869143017,1.1713710869143015,3.3306690738754696e-16,0.9212846639876111,1.8525332020463818e-16,5.305164769729845
0.5,0.10000000000000142,-3.1415926535897696,-0.36263954880297605,2.220446049250313e-16,0.543708982025469,0.8196721311475431,3.1309169132831505
