site,onsite,hopping_to_next
0,-6.63821226474648e-201,0.5480472135537484
1,-5.0e-324,0.26492481774712534
2,1.5110443333623688e-199,0.34602439783472244
3,6.03e-322,0.1309307109304645
4,5.580845756099891e-199,0.11174039247825746
5,7.18614e-319,0.036950543191974904
6,7.372439587596203e-198,0.0364474421906026
7,3.0201773e-317,0.01214833126658816
8,-1.4493780649907807e-196,NaN
