iteration,scale,kept,ground_charge,charge,ordinal,energy_real,energy_imag,energy_abs,max_residual,biorth_error,min_pair_overlap
0,0.7853981633974483,16,2,2,0,0.0,0.0,0.0,4.259753241531625e-15,3.6224416492299044e-13,0.000999999555567543
0,0.7853981633974483,16,2,1,0,0.21847734743275565,-0.002022793369383111,0.21848671134480524,4.259753241531625e-15,3.6224416492299044e-13,0.000999999555567543
0,0.7853981633974483,16,2,3,0,0.21847734743275782,-0.0020227933693851095,0.2184867113448074,4.259753241531625e-15,3.6224416492299044e-13,0.000999999555567543
0,0.7853981633974483,16,2,3,1,0.2225628195920155,0.002060626886073685,0.22257235867895106,4.259753241531625e-15,3.6224416492299044e-13,0.000999999555567543
0,0.7853981633974483,16,2,1,1,0.22256281959201726,0.0020606268860716564,0.2225723586789528,4.259753241531625e-15,3.6224416492299044e-13,0.000999999555567543
0,0.7853981633974483,16,2,2,1,0.4338641799323263,-0.003988041864123788,0.43388250841242726,4.259753241531625e-15,3.6224416492299044e-13,0.000999999555567543
0,0.7853981633974483,16,2,2,2,0.43789152431811856,3.834967860047633e-5,0.43789152599741327,4.259753241531625e-15,3.6224416492299044e-13,0.000999999555567543
0,0.7853981633974483,16,2,2,3,0.44191886728911245,0.004062619155819282,0.4419375409947625,4.259753241531625e-15,3.6224416492299044e-13,0.000999999555567543
0,0.7853981633974483,16,2,2,4,0.4442577213343975,3.7288645849444434e-5,0.44425772289930343,4.259753241531625e-15,3.6224416492299044e-13,0.000999999555567543
0,0.7853981633974483,16,2,0,0,0.44425772133439756,3.728864584944496e-5,0.4442577228993035,4.259753241531625e-15,3.6224416492299044e-13,0.000999999555567543
0,0.7853981633974483,16,2,4,0,0.44425772133439756,3.728864584944496e-5,0.4442577228993035,4.259753241531625e-15,3.6224416492299044e-13,0.000999999555567543
0,0.7853981633974483,16,2,1,2,0.6596445538339669,-0.0019279598488850316,0.6596473712764966,4.259753241531625e-15,3.6224416492299044e-13,0.000999999555567543
0,0.7853981633974483,16,2,3,2,0.6596445538339676,-0.0019279598488851119,0.6596473712764973,4.259753241531625e-15,3.6224416492299044e-13,0.000999999555567543
0,0.7853981633974483,16,2,3,3,0.6636137690314979,0.002039280915594378,0.6636169023727794,4.259753241531625e-15,3.6224416492299044e-13,0.000999999555567543
0,0.7853981633974483,16,2,1,3,0.6636137690314988,0.0020392809155942346,0.6636169023727803,4.259753241531625e-15,3.6224416492299044e-13,0.000999999555567543
0,0.7853981633974483,16,2,2,5,0.8821492442377274,7.351625895134464e-5,0.8821492473010641,4.259753241531625e-15,3.6224416492299044e-13,0.000999999555567543
1,0.4534498410585544,64,3,3,0,0.0,0.0,0.0,1.448272171916626e-13,1.1556101979449728e-10,0.04469900725409017
1,0.4534498410585544,64,3,3,1,0.012702762202187579,0.012696288443385884,0.01795984153056422,1.448272171916626e-13,1.1556101979449728e-10,0.04469900725409017
1,0.4534498410585544,64,3,4,0,0.015466124033966189,0.006347870234284445,0.016718147300025233,1.448272171916626e-13,1.1556101979449728e-10,0.04469900725409017
1,0.4534498410585544,64,3,2,0,0.015466124033971074,0.006347870234278924,0.016718147300027658,1.448272171916626e-13,1.1556101979449728e-10,0.04469900725409017
1,0.4534498410585544,64,3,4,1,1.2667752588661076,-0.0003092244518455283,1.2667752966075143,1.448272171916626e-13,1.1556101979449728e-10,0.04469900725409017
1,0.4534498410585544,64,3,2,1,1.2667752588661172,-0.0003092244518491851,1.2667752966075239,1.448272171916626e-13,1.1556101979449728e-10,0.04469900725409017
1,0.4534498410585544,64,3,2,2,1.2682865550587294,0.0003594339544364805,1.2682866059907387,1.448272171916626e-13,1.1556101979449728e-10,0.04469900725409017
1,0.4534498410585544,64,3,4,2,1.2682865550587508,0.0003594339544624389,1.26828660599076,1.448272171916626e-13,1.1556101979449728e-10,0.04469900725409017
1,0.4534498410585544,64,3,4,3,1.2801031108893164,0.013011903761547608,1.2801692404319067,1.448272171916626e-13,1.1556101979449728e-10,0.04469900725409017
1,0.4534498410585544,64,3,2,3,1.280103110889317,0.013011903761550718,1.2801692404319076,1.448272171916626e-13,1.1556101979449728e-10,0.04469900725409017
1,0.4534498410585544,64,3,4,4,1.2804146313564755,0.012343492842063288,1.2804741270354825,1.448272171916626e-13,1.1556101979449728e-10,0.04469900725409017
1,0.4534498410585544,64,3,2,4,1.2804146313564946,0.012343492842081501,1.2804741270355018,1.448272171916626e-13,1.1556101979449728e-10,0.04469900725409017
1,0.4534498410585544,64,3,3,2,1.2813421963232532,0.006047834464715907,1.281356468895448,1.448272171916626e-13,1.1556101979449728e-10,0.04469900725409017
1,0.4534498410585544,64,3,3,3,1.2819486578006352,0.006654052423698963,1.281965926867991,1.448272171916626e-13,1.1556101979449728e-10,0.04469900725409017
1,0.4534498410585544,64,3,1,0,1.2831424547424768,0.0060294089534823824,1.2831566205786717,1.448272171916626e-13,1.1556101979449728e-10,0.04469900725409017
1,0.4534498410585544,64,3,3,4,1.2831424547424817,0.006029408953478925,1.2831566205786766,1.448272171916626e-13,1.1556101979449728e-10,0.04469900725409017
1,0.4534498410585544,64,3,5,0,1.283142454742483,0.006029408953478006,1.283156620578678,1.448272171916626e-13,1.1556101979449728e-10,0.04469900725409017
1,0.4534498410585544,64,3,5,1,1.2837862720000237,0.0066729696377322715,1.2838036145374825,1.448272171916626e-13,1.1556101979449728e-10,0.04469900725409017
1,0.4534498410585544,64,3,3,5,1.2837862720000253,0.006672969637724624,1.283803614537484,1.448272171916626e-13,1.1556101979449728e-10,0.04469900725409017
1,0.4534498410585544,64,3,1,1,1.2837862720000288,0.006672969637725768,1.2838036145374876,1.448272171916626e-13,1.1556101979449728e-10,0.04469900725409017
