row,column,V_real,V_imag,normalized_Gamma_real,normalized_Gamma_imag
1,1,0.17320508075688773,0.0,1.0,0.0
1,2,0.0,0.0,0.0,0.0
2,1,0.0,0.0,0.0,0.0
2,2,0.17320508075688773,0.0,1.0,0.0
