beta0,control_gamma_pt_zero,proper_delay_peak,proper_delay_peak_omega,trace_delay_peak,trace_delay_peak_omega,mean_pole_halfwidth,minimum_rate_halfwidth,pole_width_normalized_proper_peak,rate_width_normalized_proper_peak,rate_matched_coherent_channel
0.35,0,21.081347688670796,-0.02529999999999999,26.583592938733112,0.0,0.12,0.05,2.5297617226404956,1.0540673844335398,
0.35,1,16.666666666666657,-0.09250000000000003,21.983170588761997,0.07119999999999993,0.12000000000000002,0.12,1.9999999999999993,1.999999999999999,
0.4,0,23.494860499265805,0.0,28.193832599118963,0.0,0.12,0.03999999999999998,2.8193832599118966,0.9397944199706317,
0.4,1,16.666666666666664,-0.09499999999999997,21.758971811027,0.07519999999999993,0.11999999999999997,0.12,1.9999999999999991,1.9999999999999996,
0.45,0,26.57176749703441,0.0,30.367734282325042,0.0,0.12,0.029999999999999985,3.1886120996441294,0.7971530249110319,
0.45,1,16.666666666666664,-0.09750000000000003,21.548415185603048,-0.07900000000000007,0.11999999999999997,0.12,1.9999999999999991,1.9999999999999996,
0.48,0,28.828828828828826,0.0,32.03203203203203,0.0,0.12,0.023999999999999994,3.4594594594594588,0.6918918918918916,
0.48,1,16.666666666666657,-0.09899999999999998,21.428172027130426,-0.08120000000000005,0.12000000000000002,0.12,1.9999999999999993,1.999999999999999,
0.49,0,29.667432168070086,0.0,32.66139321255422,0.0,0.11999999999999997,0.021999999999999992,3.5600918601684093,0.6526835076975417,
0.49,1,16.66666666666667,-0.09950000000000003,21.3890595576864,0.08199999999999996,0.11999999999999997,0.12,2.0,2.0000000000000004,
0.495,0,30.105032540756504,0.0,32.99181648302082,0.0,0.11999999999999997,0.02099999999999999,3.6126039048907796,0.6322056833558863,
0.495,1,16.666663773148645,-0.09970000000000001,21.36967788298289,0.08229999999999993,0.12000000000000001,0.12,1.9999996527778376,1.9999996527778374,
0.5,0,30.555555555555557,0.0,33.333333333333336,0.0,0.12,0.01999999999999999,3.6666666666666665,0.6111111111111108,
0.5,1,16.666666666666675,-0.10000000000000003,21.350416037753845,-0.0827,0.11999999999999997,0.12,2.0000000000000004,2.000000000000001,
0.52,0,32.49909321726515,0.0,34.820457018498374,0.0,0.12,0.015999999999999986,3.8998911860718177,0.519985491476242,
0.52,1,16.666666666666668,0.10099999999999998,21.274508151435903,-0.08420000000000005,0.11999999999999997,0.12,1.9999999999999996,2.0,
0.55,0,35.91996095656418,0.0,37.48169838945827,0.0,0.12,0.009999999999999981,4.310395314787701,0.3591996095656411,
0.55,1,16.66666666666667,0.10249999999999992,21.163995146291306,-0.08630000000000004,0.11999999999999997,0.12,2.0,2.0000000000000004,
0.5,0,63.768115942028984,nan,nan,nan,nan,0.01999999999999999,nan,1.2753623188405792,0.05
0.5,0,43.89027431421448,nan,nan,nan,nan,0.01999999999999999,nan,0.8778054862842891,0.075
0.5,0,30.555555555555557,nan,nan,nan,nan,0.01999999999999999,nan,0.6111111111111108,0.1
0.5,0,22.222222222222225,nan,nan,nan,nan,0.01999999999999999,nan,0.44444444444444425,0.125
0.5,0,19.513672645673793,nan,nan,nan,nan,0.01999999999999999,nan,0.39027345291347565,0.15
