beta0,control_gamma_pt_zero,pole_index,pole_real,pole_halfwidth,coherent_channel,relative_rate_channel
0.405,0,1,0.05011549161686432,0.12,0.09525,0.08100000000000002
0.405,1,0,-0.09525,0.12,0.09525,0.0
0.405,1,1,0.09525,0.12,0.09525,0.0
0.4075,0,0,-0.0495392836544898,0.12,0.095375,0.0815
0.4075,0,1,0.0495392836544898,0.12,0.095375,0.0815
0.4075,1,0,-0.095375,0.12,0.095375,0.0
0.4075,1,1,0.095375,0.12,0.095375,0.0
0.41000000000000003,0,0,-0.04895150661624213,0.12,0.0955,0.08200000000000002
0.41000000000000003,0,1,0.04895150661624213,0.12,0.0955,0.08200000000000002
0.41000000000000003,1,0,-0.0955,0.12,0.0955,0.0
0.41000000000000003,1,1,0.0955,0.12,0.0955,0.0
0.4125,0,0,-0.048351738593353594,0.12,0.095625,0.0825
0.4125,0,1,0.048351738593353594,0.12,0.095625,0.0825
0.4125,1,0,-0.095625,0.12,0.095625,0.0
0.4125,1,1,0.095625,0.12,0.095625,0.0
0.41500000000000004,0,0,-0.04773952764743277,0.12,0.09575,0.08300000000000002
0.41500000000000004,0,1,0.04773952764743277,0.12,0.09575,0.08300000000000002
0.41500000000000004,1,0,-0.09575,0.12,0.09575,0.0
0.41500000000000004,1,1,0.09575,0.12,0.09575,0.0
0.4175,0,0,-0.04711438872573855,0.12,0.095875,0.0835
0.4175,0,1,0.04711438872573855,0.12,0.095875,0.0835
0.4175,1,0,-0.095875,0.12,0.095875,0.0
0.4175,1,1,0.095875,0.12,0.095875,0.0
0.42,0,0,-0.046475800154488996,0.12,0.096,0.084
0.42,0,1,0.046475800154488996,0.12,0.096,0.084
0.42,1,0,-0.096,0.12,0.096,0.0
0.42,1,1,0.096,0.12,0.096,0.0
0.4225,0,0,-0.04582319963730162,0.12,0.096125,0.0845
0.4225,0,1,0.04582319963730162,0.12,0.096125,0.0845
0.4225,1,0,-0.096125,0.12,0.096125,0.0
0.4225,1,1,0.096125,0.12,0.096125,0.0
0.425,0,0,-0.04515597967047109,0.12,0.09625,0.085
0.425,0,1,0.04515597967047109,0.12,0.09625,0.085
0.425,1,0,-0.09625,0.12,0.09625,0.0
0.425,1,1,0.09625,0.12,0.09625,0.0
0.4275,0,0,-0.04447348226752656,0.12,0.096375,0.0855
0.4275,0,1,0.04447348226752656,0.12,0.096375,0.0855
0.4275,1,0,-0.096375,0.12,0.096375,0.0
0.4275,1,1,0.096375,0.12,0.096375,0.0
0.43,0,0,-0.04377499286122157,0.12,0.0965,0.08600000000000001
0.43,0,1,0.04377499286122157,0.12,0.0965,0.08600000000000001
0.43,1,0,-0.0965,0.12,0.0965,0.0
0.43,1,1,0.0965,0.12,0.0965,0.0
0.4325,0,0,-0.04305973322026042,0.12,0.096625,0.08650000000000001
0.4325,0,1,0.04305973322026042,0.12,0.096625,0.08650000000000001
0.4325,1,0,-0.096625,0.12,0.096625,0.0
0.4325,1,1,0.096625,0.12,0.096625,0.0
0.435,0,0,-0.04232685317856738,0.12,0.09675,0.08700000000000001
0.435,0,1,0.04232685317856738,0.12,0.09675,0.08700000000000001
0.435,1,0,-0.09675,0.12,0.09675,0.0
0.435,1,1,0.09675,0.12,0.09675,0.0
